Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid,500,460,99,500,59,21747,21771,24,2.5,,540,5662,
Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid,1000,910,0,700,210,16235,16354,119,1.8,,0,4917,
BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid,500,500,0,450,50,597,621,24,2.1,,8361,7261,
Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid,600,550,309,600,259,2148,2225,77,3.4,,0,0,
Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid,1000,710,868,1000,578,4464,4697,233,2.5,,0,0,
Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid,500,300,246,500,46,20600,20619,19,2.4,,0,5122,
Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid,600,420,0,350,70,785,799,14,5.0,,3618,7277,
Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,500,500,0,500,0,10944,10944,0,#DIV/0!,,0,0,
Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid,600,250,447,500,197,9685,9738,53,3.7,,191,5313,
Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid,600,400,0,340,60,11135,11163,28,2.1,,0,0,
Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid,1000,1000,0,990,10,8703,8706,3,3.3,,481,7099,
Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,1432,640,1792,7847,8427,580,3.1,,0,0,
CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid,500,500,0,400,100,32440,32478,38,2.6,,564,4954,
Chiradzulo Hosp,TN42003,Blantyre,Chiradzulo,Grid,Prepaid,600,600,139,600,139,17397,17483,86,1.6,,3919,4051,
Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid,1000,880,422,980,322,2902,2999,97,3.3,,0,0,
Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid,1000,720,727,990,457,5039,5259,220,2.1,,0,0,
Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid,500,500,0,430,70,16025,16055,30,2.3,,0,0,
Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid,1000,910,1535,1000,1445,11723,12090,367,3.9,,19122,19122,
Henred,TN40040,Blantyre,Blantyre,Grid,Prepaid,1000,1000,0,850,150,3872,3913,41,3.7,,22,5317,
HHI,TN40041,Blantyre,Blantyre,Grid,Prepaid,600,585,0,578,7,12004,12006,2,3.5,,3497,5692,
Illovo,TN46006,Blantyre,Chikwawa,Grid,Prepaid,1000,879,0,800,79,421,455,34,2.3,,0,0,
Nchalo Shop,TNMShop,Blantyre,Chikwawa,Grid,Prepaid,100,100,0,100,0,13880,13880,0,#DIV/0!,,0,0,
Kadzimete  ,TN48006,Blantyre,Chikwawa,Grid,Prepaid,1000,860,0,540,320,3598,3701,103,3.1,,0,0,
Kanjedza,TN40047,Blantyre,Blantyre,Grid,Prepaid,500,225,0,221,4,17834,17835,1,4.0,,717,3644,
Khama,TN40149,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,0,362,638,6140,6436,296,2.2,,0,0,
Limbe TNM Shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,150,13,0,13,0,2685,2685,0,#DIV/0!,,0,0,
Limbe Town,TN40055,Blantyre,Blantyre,Grid,Prepaid,100,10,87,40,57,12486,12542,56,1.0,,2692,5620,
Lirangwe,TN41056,Blantyre,Blantyre,Grid,Prepaid,600,380,0,380,0,13759,13759,0,#DIV/0!,,2626,5553,
Lunzu,TN40059,Blantyre,Blantyre,Grid,Prepaid,600,500,0,430,70,18939,18960,21,3.3,,463,6972,
Machinjiri Hill,TN40060,Blantyre,Blantyre,Grid,Prepaid,600,250,0,220,30,15979,15989,10,3.0,,0,0,
Manja,TN40069,Blantyre,Blantyre,Grid,Prepaid,1000,1000,0,800,200,10946,11016,70,2.9,,0,6618,
Matindi,TN41073,Blantyre,Blantyre,Grid,Prepaid,600,600,0,540,60,16691,16714,23,2.6,,2504,5431,
Mbame,TN41074,Blantyre,Blantyre,Grid,Prepaid,600,400,0,350,50,19863,19885,22,2.3,,0,5294,
Mbayani,TN40075,Blantyre,Blantyre,Grid,Prepaid,1000,300,245,490,55,16750,16775,25,2.2,,2106,5033,
CEO residence,tnmres,Blantyre,Blantyre,Grid,Prepaid,600,600,0,600,0,14808,14808,0,#DIV/0!,,0,0,
QECH,TN40151,Blantyre,Blantyre,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,,2857,4320,
Milepa,TN42005,Blantyre,Chiradzulo,Grid,Prepaid,1000,860,364,1000,224,4908,5029,121,1.9,,0,2927,
Mimosa,TN44008,Blantyre,Mulanje,Grid,Prepaid,500,720,0,630,90,13883,13929,46,2.0,,2377,4111,
Misesa,TN40078,Blantyre,Blantyre,Grid,Prepaid,1000,1000,0,800,200,6510,6590,80,2.5,,0,8909,
Mpemba Hill,TN41149,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,0,500,500,3953,4089,136,3.7,,0,0,
Manja Ext,TN40152,Blantyre,Blantyre,Off Grid,Prepaid,1000,900,216,660,456,4389,4499,110,4.1,,0,16037,
Money Men,TN40009,Blantyre,Blantyre,Grid,Prepaid,1000,1000,0,810,190,18466,18531,65,2.9,,0,5307,
Mpemba,TN40081,Blantyre,Blantyre,Grid,Prepaid,1000,820,0,820,0,6016,6016,0,#DIV/0!,,4120,7778,
Mpingwe,TN40138,Blantyre,Blantyre,Grid,Prepaid,500,480,0,480,0,2914,2914,0,#DIV/0!,,0,0,
Mt Pleasant,TN40080,Blantyre,Blantyre,Grid,Prepaid,1000,260,849,750,359,1616,1662,46,7.8,,0,5863,
Ndirande Nchalo,TN46027,Blantyre,Chikwawa,Grid,Prepaid,1000,100,829,680,249,2201,2308,107,2.3,,0,0,
Mulongolela,TN48002,Blantyre,Mulanje,Prime,Prepaid,600,396,0,370,26,15928,15938,10,2.6,,14206,14206,
Muloza,TN44013,Blantyre,Mulanje,Grid,Prepaid,1000,850,286,870,266,12613,12706,93,2.9,,0,0,
CONFORZ,TN43002,Blantyre,Thyolo,Prime,Prepaid,1000,540,1347,1000,887,20452,20870,220,4.0,,0,0,
