Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Area 21,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,508,92,212,252,40, 2.3 ,0,0,0,0
Area 23 ,TN20024 ,Lilongwe,Lilongwe,Grid,Postpaid,500,374,0,364,10,12613,12620,7, 1.4 ,0,0,0,0
Area 23 Extension,TN20028 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,650,0,633,17,4998,5005,7, 2.4 ,0,0,0,0
Biwi Township,TN20084 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,764,0,760,4,2514,2516,2, 2.0 ,0,0,0,0
Mbwatalika,TN23089 ,Lilongwe,Lilongwe,Grid,Prepaid,600,280,0,279,1,18729,18730,1, 1.0 ,0,0,0,0
Chinsapo T/C,TN20098 ,Lilongwe,Lilongwe,Grid,Prepaid,600,908,0,908,0,3311,3311,0,#DIV/0!,0,0,0,0
Chisoso,TN24021 ,Lilongwe,Lilongwe,Grid,Postpaid,1000,750,0,510,240,2471,2560,89, 2.7 ,0,0,0,0
Chitipi,TN20102 ,Lilongwe,Lilongwe,Grid,Prepaid,600,550,30,550,30,12757,12775,18, 1.7 ,0,0,0,0
Gologota,TN20026 ,Lilongwe,Lilongwe,Grid,Prepaid,600,478,0,417,61,1289,1306,17, 3.6 ,0,0,0,0
Kabudula,TN20109 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,900,0,820,80,19819,19852,33, 2.4 ,0,0,0,0
Kamuzu Barracks,TN20113 ,Lilongwe,Lilongwe,Grid,Prepaid,600,736,0,736,0,2309,2310,1, -   ,0,0,0,0
Kawale,TN20123 ,Lilongwe,Lilongwe,Grid,Prepaid,500,463,320,500,283,3639,3675,36, 7.9 ,0,0,0,0
Likuni MTL,TN20128 ,Lilongwe,Lilongwe,Grid,Prepaid,100,300,17,300,17,29419,29426,7, 2.4 ,0,0,0,0
Chakhaza,TN24018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,690,310,3042,3193,151, 2.1 ,0,0,0,0
Area 23 Midlands,TN20029 ,Lilongwe,Lilongwe,Grid,Prepaid,600,555,250,350,455,22410,22593,183, 2.5 ,0,0,0,0
Mphepo,TN25030 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,631,1000,631,2104,2310,206, 3.1 ,0,0,0,0
Njewa,TN20158 ,Lilongwe,Lilongwe,Grid,Prepaid,600,850,0,850,0,7082,7082,0,#DIV/0!,0,0,0,0
NRC,TN20162 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,900,0,890,10,7335,7339,4, 2.5 ,0,0,0,0
Nsalu,TN23164 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,910,0,650,260,13051,13193,142, 1.8 ,0,0,0,0
Nsundwe,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,440,60,17752,17782,30, 2.0 ,0,0,0,0
Sports Complex,TN20134 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,0,60,0,3891,66,-3825, -   ,0,0,0,0
State Residences,TN20115 ,Lilongwe,Lilongwe,Grid,Prepaid,600,591,0,591,0,14470,14470,0,#DIV/0!,0,0,0,0
ARET,TN20082 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,11,100,11,30307,30312,5, 2.2 ,0,0,0,0
AOG,TN20005 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,22,50,72,3473,3503,30, 2.4 ,0,0,0,0
LL Office,TN20132 ,Lilongwe,Lilongwe,Grid,Prepaid,200,200,0,190,10,5543,5547,4, 2.5 ,0,0,0,0
Technical centre 1,LLDC001,Lilongwe,Lilongwe,Grid,Prepaid,1000,820,0,820,0,652,652,0,#DIV/0!,0,0,0,0
Technical centre 2 ,LLDC002,Lilongwe,Lilongwe,Grid,Prepaid,500,400,0,340,60,1936,1938,2, 30.0 ,0,0,0,0
Area 25 Nsungwi,TN20166 ,Lilongwe,Lilongwe,Grid,Prepaid,600,493,0,419,74,522,524,2, 37.0 ,0,0,0,0
Mgona,TN20155 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,480,135,585,30,12986,12992,6, 5.0 ,0,0,0,0
Area 49 Dubai,TN20072 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,0,680,20,7775,7821,46, 0.4 ,0,0,0,0
Dzenza,TN20105 ,Lilongwe,Lilongwe,Grid,Prepaid,500,485,0,485,0,14141,14141,0,#DIV/0!,0,0,0,0
Area 48,TN20069 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,500,0,16303,16308,5, -   ,0,0,0,0
AREA 4,TN20059 ,Lilongwe,Lilongwe,Grid,Prepaid,600,830,0,800,30,2759,2769,10, 3.0 ,0,0,0,0
Mtandile,TN20150 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,311,600,311,26923,27139,216, 1.4 ,0,0,0,0
Area 43 Extension,TN20063 ,Lilongwe,Lilongwe,Grid,Prepaid,600,457,0,443,14,2792,2799,7, 2.0 ,0,0,0,0
Chiwamba,TN23103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,0,400,0,11032,11032,0,#DIV/0!,0,0,0,0
Area 43 Africa House,TN20061 ,Lilongwe,Lilongwe,Grid,Prepaid,600,150,480,600,30,15952,15962,10, 3.0 ,0,0,0,0
Lisandwa,TN25031 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,1000,0,1763,1763,0,#DIV/0!,0,0,0,0
Area 30 Railways,TN20049 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,701,0,600,101,2518,2532,14, 7.2 ,0,0,0,0
Area 25 C,TN20041 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,542,745,693,594,4185,16210,12025, 0.0 ,0,0,0,0
Kanengo Proper,TN20118 ,Lilongwe,Lilongwe,Grid,Prepaid,600,590,0,555,35,3789,3803,14, 2.5 ,0,0,0,0
Silos,TN20169 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,0,58,2,909,910,1, 2.0 ,0,0,0,0
KIA,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,100,118,208,10,8684,8698,14, 0.7 ,0,0,0,0
Kanengo MBC,TN20119 ,Lilongwe,Lilongwe,Grid,Prepaid,500,227,0,227,0,3837,3837,0,#DIV/0!,0,0,0,0
Nambuma,TN24016 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,980,0,970,10,22721,22726,5, 2.0 ,0,0,0,0
Dangalilo,TN24002 ,Lilongwe,Dowa,Grid,Prepaid,600,570,0,560,10,18478,18483,5, 2.0 ,0,0,0,0
Lumbadzi,TN20138 ,Lilongwe,Lilongwe,Grid,Prepaid,500,390,0,390,0,1055,1055,0,#DIV/0!,0,0,0,0
Area 50,TN20080 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,585,15,4316,4321,5, 3.0 ,0,0,0,0
Kayembe,TN24007 ,Lilongwe,Dowa,Grid,Prepaid,600,540,0,480,60,16532,16574,42, 1.4 ,0,0,0,0
Airport Road,TN20003 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,230,0,200,30,23993,24005,12, 2.5 ,0,0,0,0
Area 49 Gulliver stadium,TN20073 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,500,643,357,4402,4578,176, 2.0 ,0,0,0,0
Area 43 TBS,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,336,318,500,154,12259,12290,31, 5.0 ,0,0,0,0
Chiwuzira,TN20215 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,700,810,390,1228,1490,262, 1.5 ,0,0,0,0
Capital Hill,TN20090 ,Lilongwe,Lilongwe,Grid,Prepaid,600,486,0,462,24,1258,1264,6, 4.0 ,0,0,0,0
Area 11,TN20010 ,Lilongwe,Lilongwe,Grid,Prepaid,600,450,271,600,121,6262,6296,34, 3.6 ,0,0,0,0
Area 12 Villa,TN20013 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,0,100,0,7594,7594,0,#DIV/0!,0,0,0,0
Area 12 PTC,TN20008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,433,0,433,0,4119,4119,0,#DIV/0!,0,0,0,0
Area 12 Zikomo,TN20014 ,Lilongwe,Lilongwe,Grid,Prepaid,600,480,0,479,1,13203,13204,1, 1.0 ,0,0,0,0
Area 18 B,TN20018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,296,473,750,19,6199,6212,13, 1.5 ,0,0,0,0
Area 18 Senti,TN20168 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,728,0,520,208,4514,4589,75, 2.8 ,0,0,0,0
Bunda Proper,TN23086 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,420,180,7803,7852,49, 3.7 ,0,0,0,0
