Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
LIWALADZI,TN26007,North,NKHOTAKOTA,Grid,Prepaid,1000,430,0,404,26,5494,5507,13, 2.0 ,0,0,0,0
KASASA,TN26005,North,NKHOTAKOTA,Grid,Prepaid,1000,915,0,873,42,1401,1420,19, 2.2 ,0,0,0,0
DWANGWA FACTORY,TN26003,North,NKHOTAKOTA,Grid,Prepaid,1000,530,953,987,496,1059,1098,39, 12.7 ,0,0,0,0
DWANGWA TRADING,TN26004,North,NKHOTAKOTA,Grid,Prepaid,600,904,0,902,2,1915,1917,2, 1.0 ,100,2927,100,2927
NGALA,TN10076,North,NKHOTAKOTA,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0
TUKOMBO,TN13004,North,NKHATABAY,Grid,Postpaid,1000,893,0,783,110,2506,2550,44, 2.5 ,17111,0,17111,0
KABUNDI,TN15034,North,NKHATABAY,Grid,Prepaid,600,382,1064,780,666,12101,12298,197, 3.4 ,0,0,0,0
CHIKWINA,TN12002,North,NKHATABAY,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0
MZUZU BSC EXCHANGE,TN13002,North,MZUZU,Grid,Prepaid,2000,2000,0,1848,152,3987,4003,16, 9.5 ,2007,8666,2007,8666
MZUZU GESTETNER,TN11010,North,MZUZU,Grid,Prepaid,1000,824,820,970,674,2849,3081,232, 2.9 ,1687,2927,1687,2927
MZUZU OFFICE,TN10062,North,MZUZU,Grid,Prepaid,210,180,0,178,2,5638,5640,2, 1.0 ,1028,3658,1028,3658
MZUZU CHIMALIRO,TN10069,North,MZUZU,Grid,Prepaid,1000,747,221,790,178,7264,7314,50, 3.6 ,286,3658,286,3658
MZUZU FOREST,TN10065,North,MZUZU,Grid,Prepaid,210,350,803,600,553,12167,12474,307, 1.8 ,575,2927,575,2927
USISYA,TN10079,North,NKHATABAY,Grid,Prepaid,600,600,0,487,113,14489,14629,140, 0.8 ,987,2561,987,2561
NKHORONGO,TN15008,North,MZUZU,Grid,Prepaid,600,600,0,534,66,7614,7644,30, 2.2 ,500,2927,500,2927
MZUZU CHIBANJA,TN13017,North,MZUZU,Grid,Prepaid,1000,820,0,810,10,7039,7045,6, 1.7 ,447,2927,447,2927
KATOTO,TN10052,North,MZUZU,Grid,Prepaid,60,600,0,568,32,7660,7676,16, 2.0 ,900,2927,900,2927
MCHENGAUTUBA,TN13001,North,MZUZU,Grid,Prepaid,1000,923,0,870,53,3518,3536,18, 2.9 ,1008,5124,1008,5124
LUSANGAZI,TN15004,North,MZUZU,Grid,Prepaid,600,600,0,410,190,1508,1603,95, 2.0 ,950,2927,950,2927
LUWAWA FOREST,TN12025,North,MZIMBA,OFFGRID,Prepaid,800,440,580,430,590,1087,1257,170, 3.5 ,0,0,0,0
LWANJATI,TN10063,North,MZIMBA,OFFGRID,Prepaid,800,383,692,430,645,30600,30787,187, 3.4 ,0,0,0,0
JENDA,TN15033,North,MZIMBA,Grid,Prepaid,1000,750,0,715,35,4366,4381,15, 2.3 ,840,2927,840,2927
EDINGENI,TN13010,North,MZIMBA,Grid,Prepaid,600,560,50,550,60,12307,12312,5, 12.0 ,1257,2927,1257,2927
LUPERERE,TN13019,North,MZIMBA,OFFGRID,Prepaid,600,75,890,480,485,23948,24080,132, 3.7 ,0,0,0,0
MANYAMULA,TN15012,North,MZIMBA,Grid,Prepaid,600,550,250,600,200,14421,14538,117, 1.7 ,1029,4026,1029,4026
ESWAZINI,TN15022,North,MZIMBA,Grid,Prepaid,600,282,513,420,375,9603,9699,96, 3.9 ,0,0,0,0
MPHEREMBE,TN11004,North,MZIMBA,Grid,Prepaid,600,700,420,1000,120,4596,4601,5, 24.0 ,999,2927,999,2927
RUMPHI TOWN,TN13013,North,RUMPHI,Grid,Prepaid,600,560,0,515,45,10050,10068,18, 2.5 ,801,3306,600,3507
BOLERO,TN10064,North,RUMPHI,Grid,Prepaid,210,550,0,525,25,11723,11733,10, 2.5 ,652,3306,500,3458
THAZIMA,TN13014,North,RUMPHI,OFFGRID,Prepaid,1000,1000,995,1000,995,8143,8437,294, 3.4 ,0,0,0,0
CHILINDA/CHOSI,TN14021,North,RUMPHI,OFFGRID,Prepaid,1000,907,650,798,759,12335,12567,232, 3.3 ,0,0,0,0
DOMWE,TN10068,North,RUMPHI,OFFGRID,Prepaid,1000,1000,898,856,1042,6848,7051,203, 5.1 ,0,0,0,0
MPHOMPHA,TN10010,North,RUMPHI,OFFGRID,Prepaid,1000,379,820,880,319,5334,5421,87, 3.7 ,0,0,0,0
PHWEZI,TN11005,North,RUMPHI,Grid,Prepaid,210,112,120,206,26,14445,14457,12, 2.2 ,412,2927,1102,2237
MLOWE,TN10072,North,RUMPHI,OFFGRID,Prepaid,800,320,705,550,475,34053,34248,195, 2.4 ,0,0,0,0
