Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
WALALA,TN42011,South,Zomba,GRID,PREPAID,1000,505,0,494,11,2973,2978,5, 2.20 ,494,,,
NASAWA ,TN31023,South,Zomba,GRID,PREPAID,600,420,150,520,50,22744,22778,34, 1.47 ,520,,,
DZAONE,TN31028,South,Zomba,GRID,PREPAID,600,790,1250,812,1228,5534,6040,506, 2.43 ,812,,,
ZOMBA ESCOM,TN30031,South,Zomba,GRID,POSTPAID,600,582,0,582,0,11515,11515,0,#DIV/0!,582,,,
THONDWE,TN31027,South,Zomba,OFF GRID ,,600,774,0,761,13,13685,13689,4, 3.25 ,761,,,
ZOMBA WICO MOBILE,TN30035,South,Zomba,GRID,POSTPAID ACCESS,600,189,412,570,31,15951,15969,18, 1.72 ,570,,,
CHICHIRI_SCHOOL,TN30030,South,Zomba,GRID ,PREPAID ,600,623,427,1000,50,381,402,21, 2.38 ,1000,,,
LIKUNGWATI,TN30009,South,Zomba,GRID,PREPAID,600,944,0,857,87,3246,3267,21, 4.14 ,857,,,
KAMOTO,TN44004,South,Chiradzulo,OFF GRID ,OFF GRID,600,589,0,248,341,6458,6597,139, 2.45 ,248,,,
NAISI ,TN30021,South,Zomba,GRID,PREPAID,600,769,295,1030,34,8074,8086,12, 2.83 ,1030,,,
DOMASI,TN31004,South,Zomba,GRID,PREPAID,800,540,121,600,61,23300,23339,39, 1.56 ,600,,,
JALI,TN31005,South,Zomba,GRID,POSTPAID MTL,600,481,0,444,37,13821,13837,16, 2.31 ,444,,,
PHALOMBE,TN45012,South,Phalombe,GRID,POSTPAID,600,545,340,600,285,34111,34229,118, 2.42 ,600,,,
NOLO (NEW),TN45009,South,Phalombe,GRID,PREPAID,600,940,0,850,90,16934,16965,31, 2.90 ,850,,,
NJUMWA NEW,TN45007,South,Phalombe,GRID,PREPAID MTL,1000,572,559,970,161,9300,9355,55, 2.93 ,970,,,
OLD NAISI NEWLINES,TN30039,South,Zomba,OFF GRID,OFF GRID,600,444,0,444,0,20588,20588,0,#DIV/0!,444,,,
CHIRINGA,TN45001,South,Phalombe,OFF GRID ,,1000,1000,1301,800,1501,2946,3469,523, 2.87 ,800,,,
ST MARYS,TN30034,South,Zomba,GRID,PREPAID,600,320,0,320,0,127,127,0,#DIV/0!,320,,,
SADZI,TN30024,South,Zomba,GRID,PREPAID,600,457,0,457,0,12900,12900,0,#DIV/0!,457,,,
CHANCO,TN30001,South,Zomba,GRID,PREPAID,600,937,59,989,7,3309,3312,3, 2.33 ,989,,,
KACHULU,TN31007,South,Zomba,GRID,PREPAID,600,550,0,550,0,22248,22248,0,#DIV/0!,550,,,
NANDOLO,TN30022,South,Zomba,GRID,PREPAID,1000,484,131,584,31,14276,14291,15, 2.07 ,584,,,
MULUNGUZI,TN30020,South,Zomba,GRID,PREPAID,800,528,100,600,28,14112,14125,13, 2.15 ,600,,,
