Site Name,SITE ID,Region,District,Site Status (Grid/Prime),ANYDE,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid,500,500,0,460,40,21740,21758,24,1.7,,,,
Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid,1000,1000,0,910,90,16166,16235,119,0.8,,,,
BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid,500,490,0,250,240,485,611,24,10.0,,,,
Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid,600,600,0,550,50,2116,2148,77,0.6,,,,
Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid,1000,630,814,710,734,4171,4464,233,3.2,,,,
Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid,500,500,0,250,250,20511,20600,19,13.2,,,,
Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid,600,430,0,420,10,781,785,14,0.7,,,,
Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,500,500,0,500,0,10944,10944,0,#DIV/0!,,,,
Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid,600,360,0,250,110,9639,9685,53,2.1,,,,
Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid,600,460,0,400,60,11114,11135,28,2.1,,,,
Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid,1000,180,1151,1000,331,8591,8703,3,110.3,,,,
Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,991,1000,991,7529,7847,580,1.7,,,,
CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid,500,480,0,470,10,32451,32459,38,0.3,,,,
Chiradzulo Hosp,TN42003,Blantyre,Chiradzulo,Grid,Prepaid,600,490,0,240,250,17380,17469,86,2.9,,,,
Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid,1000,995,0,880,115,2855,2902,97,1.2,,,,
Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid,1000,990,472,720,742,4778,5039,220,3.4,,,,
Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid,500,460,150,500,110,15985,16025,30,3.7,,,,
Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid,1000,530,807,910,427,11544,11723,367,1.2,,,,
Henred,TN40040,Blantyre,Blantyre,Grid,Prepaid,1000,980,525,1000,505,3711,3872,41,12.3,,,,
HHI,TN40041,Blantyre,Blantyre,Grid,Prepaid,600,590,0,585,5,12003,12004,2,2.5,,,,
Illovo,TN46006,Blantyre,Chikwawa,Grid,Prepaid,1000,880,0,879,1,420,421,34,0.0,,,,
Nchalo Shop,TNMShop,Blantyre,Chikwawa,Grid,Prepaid,100,100,0,100,0,13880,13880,0,#DIV/0!,,,,
Kadzimete  ,TN48006,Blantyre,Chikwawa,Grid,Prepaid,1000,770,464,860,374,3514,3598,103,3.6,,,,
