Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage
Area 21,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,212,212,0,#DIV/0!,0,0,0,0
Area 23 ,TN20024 ,Lilongwe,Lilongwe,Grid,Postpaid,500,300,172,374,98,12559,12613,54, 1.8 ,0,0,0,0
Area 23 Extension,TN20028 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,0,650,40,4985,4998,13, 3.1 ,0,0,0,0
Biwi Township,TN20084 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,784,0,764,20,2507,2514,7, 2.9 ,0,0,0,0
Mbwatalika,TN23089 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,0,280,20,18713,18729,16, 1.3 ,0,0,0,0
Chinsapo T/C,TN20098 ,Lilongwe,Lilongwe,Grid,Prepaid,600,988,0,908,80,3282,3311,29, 2.8 ,0,0,0,0
Chisoso,TN24021 ,Lilongwe,Lilongwe,Grid,Postpaid,1000,900,300,750,450,2273,2471,198, 2.3 ,0,0,0,0
Chitipi,TN20102 ,Lilongwe,Lilongwe,Grid,Prepaid,600,430,128,550,8,12750,12757,7, 1.1 ,0,0,0,0
Gologota,TN20026 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,478,22,1274,1289,15, 1.5 ,0,0,0,0
Kabudula,TN20109 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,900,100,19779,19819,40, 2.5 ,0,0,0,0
Kamuzu Barracks,TN20113 ,Lilongwe,Lilongwe,Grid,Prepaid,600,736,0,736,0,2309,2309,0,#DIV/0!,0,0,0,0
Kawale,TN20123 ,Lilongwe,Lilongwe,Grid,Prepaid,500,483,0,463,20,3631,3639,8, 2.5 ,0,0,0,0
Likuni MTL,TN20128 ,Lilongwe,Lilongwe,Grid,Prepaid,100,400,0,300,100,29373,29491,118, 0.8 ,0,0,0,0
Chakhaza,TN24018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,537,1000,537,2802,3042,240, 2.2 ,0,0,0,0
Area 23 Midlands,TN20029 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,555,45,22397,22410,13, 3.5 ,0,0,0,0
Mphepo,TN25030 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,1000,0,2104,2104,0,#DIV/0!,0,0,0,0
Njewa,TN20158 ,Lilongwe,Lilongwe,Grid,Prepaid,600,620,500,850,270,6976,7082,106, 2.5 ,0,0,0,0
NRC,TN20162 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,930,0,900,30,7297,7335,38, 0.8 ,0,0,0,0
Nsalu,TN23164 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,910,90,13016,13051,35, 2.6 ,0,0,0,0
Nsundwe,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,500,460,302,500,262,17615,17752,137, 1.9 ,0,0,0,0
Sports Complex,TN20134 ,Lilongwe,Lilongwe,Grid,Prepaid,60,40,32,60,12,3885,3891,6, 2.0 ,0,0,0,0
State Residences,TN20115 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,295,591,4,14468,14470,2, 2.0 ,0,0,0,0
ARET,TN20082 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,175,100,175,30252,30307,55, 3.2 ,0,0,0,0
AOG,TN20005 ,Lilongwe,Lilongwe,Grid,Prepaid,100,70,216,100,186,3444,3473,29, 6.4 ,0,0,0,0
LL Office,TN20132 ,Lilongwe,Lilongwe,Grid,Prepaid,200,174,46,200,20,5540,5543,3, 6.7 ,0,0,0,0
Technical centre 1,LLDC001,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,820,180,648,652,4, 45.0 ,0,0,0,0
Technical centre 2 ,LLDC002,Lilongwe,Lilongwe,Grid,Prepaid,500,400,0,400,0,1936,1936,0,#DIV/0!,0,0,0,0
Area 25 Nsungwi,TN20166 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,493,7,517,522,5, 1.4 ,0,0,0,0
Mgona,TN20155 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,510,0,480,30,12977,12986,9, 3.3 ,0,0,0,0
Area 49 Dubai,TN20072 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,250,500,700,50,7733,7775,42, 1.2 ,0,0,0,0
Dzenza,TN20105 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,485,15,14131,14141,10, 1.5 ,0,0,0,0
Area 48,TN20069 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,500,500,600,16291,16303,12, 50.0 ,0,0,0,0
AREA 4,TN20059 ,Lilongwe,Lilongwe,Grid,Prepaid,600,880,0,830,50,2739,2759,20, 2.5 ,0,0,0,0
Mtandile,TN20150 ,Lilongwe,Lilongwe,Grid,Prepaid,600,16,680,600,96,26750,26923,173, 0.6 ,0,0,0,0
Area 43 Extension,TN20063 ,Lilongwe,Lilongwe,Grid,Prepaid,600,460,0,457,3,2789,2792,3, 1.0 ,0,0,0,0
