Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
WALALA,TN42011,South,Zomba,GRID,PREPAID,1000,600,0,505,95,2928,2973,45,2.1,,,,
NASAWA ,TN31023,South,Zomba,GRID,PREPAID,600,535,0,420,115,22698,22744,46,2.5,,,,
DZAONE,TN31028,South,Zomba,GRID,PREPAID,600,690,1615,790,1515,4985,5534,549,2.8,,,,
ZOMBA ESCOM,TN30031,South,Zomba,GRID,POSTPAID,600,592,0,582,10,11511,11515,4,2.5,,,,
THONDWE,TN31027,South,Zomba,OFF GRID ,,600,790,0,774,16,13680,13685,5,3.2,,,,
ZOMBA WICO MOBILE,TN30035,South,Zomba,GRID,POSTPAID ACCESS,600,400,0,189,211,15834,15951,117,1.8,,,,
CHICHIRI_SCHOOL,TN30030,South,Zomba,GRID ,PREPAID ,600,633,0,623,10,377,381,4,2.5,,,,
LIKUNGWATI,TN30009,South,Zomba,GRID,PREPAID,600,501,664,944,221,3192,3246,54,4.1,,,,
KAMOTO,TN44004,South,Chiradzulo,OFF GRID ,OFF GRID,600,1000,0,589,411,6287,6458,171,2.4,,,,
NAISI ,TN30021,South,Zomba,GRID,PREPAID,600,853,0,769,84,8038,8074,36,2.3,,,,
DOMASI,TN31004,South,Zomba,GRID,PREPAID,800,357,318,540,135,23232,23300,68,2.0,,,,
JALI,TN31005,South,Zomba,GRID,POSTPAID MTL,600,520,0,481,39,13803,13821,18,2.2,,,,
PHALOMBE,TN45012,South,Phalombe,GRID,POSTPAID,600,600,0,545,55,34092,34111,19,2.9,,,,
NOLO (NEW),TN45009,South,Phalombe,GRID,PREPAID,600,992,0,940,52,16915,16934,19,2.7,,,,
NJUMWA NEW,TN45007,South,Phalombe,GRID,PREPAID MTL,1000,660,0,572,88,9262,9300,38,2.3,,,,
OLD NAISI NEWLINES,TN30039,South,Zomba,OFF GRID,OFF GRID,600,478,0,444,34,20571,20588,17,2.0,,,,
CHIRINGA,TN45001,South,Phalombe,OFF GRID ,,1000,905,1818,1000,1723,2324,2946,622,2.8,,,,
ST MARYS,TN30034,South,Zomba,GRID,PREPAID,600,554,0,320,234,23,127,104,2.3,,,,
SADZI,TN30024,South,Zomba,GRID,PREPAID,600,590,0,457,133,12847,12900,53,2.5,,,,
CHANCO,TN30001,South,Zomba,GRID,PREPAID,600,984,0,937,47,3289,3309,20,2.4,,,,
KACHULU,TN31007,South,Zomba,GRID,PREPAID,600,550,0,550,0,22248,22248,0,#DIV/0!,,,,
NANDOLO,TN30022,South,Zomba,GRID,PREPAID,1000,598,0,484,114,14224,14276,52,2.2,,,,
MULUNGUZI,TN30020,South,Zomba,GRID,PREPAID,800,583,0,528,55,14085,14112,27,2.0,,,,
COBBE,TN30043,South,Zomba,GRID,PREPAID,600,560,0,515,45,11743,11757,14,3.2,,,,
MPITA TRADING,TN45005,South,Machinga,GRID,PREPAID,800,490,279,440,329,17356,17544,188,1.8,,,,
CHISUGULU - HILL,TN45002,South,Phalombe,OFF GRID ,OFF GRID,600,760,737,769,728,6723,6860,137,5.3,,,,
MKAMWA,TN30018,South,Zomba,OFF GRID ,OFF GRID,600,420,359,414,365,19016,19130,114,3.2,,,,
ZOMBA DAM,TN30040,South,Zomba,GRID,PREPAID,600,591,0,536,55,9249,9283,34,1.6,,,,
ZOMBA CENTRAL,TN30029,South,Zomba,GRID,PREPAID,600,978,0,786,192,3091,3129,38,5.1,,,,
MCHEMA,TN42004,South,Zomba,OFF GRID ,OFF GRID,600,930,0,733,197,4786,4883,97,2.0,,,,
AT Nasawa (Former JALI HILL),TN31023,South,Zomba,GRID,PREPAID,600,0,0,0,0,0,0,0,#DIV/0!,,,,
CHISUGULU NEW DG,TN45002,South,Zomba,OFF GRID,,600,480,0,480,0,6904,6904,0,#DIV/0!,,,,
Mphyuphyu,TN31019,South,Zomba,OFF GRID ,,600,901,0,410,491,10969,11204,235,2.1,,,,
Mikongoni Hill,TN45004,South,Phalombe,OFF GRID,,600,750,0,600,150,5630,5705,75,2.0,,,,
Thom Allan,TN30041,South,Zomba,OFF GRID,,600,905,0,606,299,8579,8736,157,1.9,,,,
ZA CENTRAL Ex Likungwati,TN30029,South,Zomba,GRID,PREPAID,600,600,0,600,0,9186,9186,0,#DIV/0!,,,,
Mposa,TN33017,South,Machinga,OFF GRID,,1000,700,0,700,0,9635,9635,0,#DIV/0!,,,,
Nayuchi,TN33009,South,Machinga,GRID,PREPAID,1000,650,0,560,90,28970,28989,19,4.7,,,,
Nselema,TN33012,South,Machinga,GRID,PREPAID,800,366,349,600,115,11917,11976,59,1.9,,,,
Chikweo,TN33001,South,Machinga,GRID,PREPAID,600,582,0,545,37,3177,3194,17,2.2,,,,
Mwima,TN32010,South,Machinga,GRID,postpaid,800,160,1594,330,1424,19085,19657,572,2.5,,,,
Ulongwe,TN32018,South,Machinga,GRID,postpaid,800,350,1045,520,875,15379,15759,380,2.3,,,,
Ntaja,TN33013,South,Machinga,GRID,postpaid,1000,560,0,511,49,16686,16707,21,2.3,,,,
Nsanama,TN33011,South,Machinga,GRID,PREPAID,600,268,367,465,170,11934,12002,68,2.5,,,,
Mvuu camp,TN33006,South,Machinga,OFF GRID ,,600,1206,0,950,256,3277,3385,108,2.4,,,,
Namanja,TN33007,South,Machinga,GRID,PREPAID,600,500,0,430,70,24998,25024,26,2.7,,,,
Liwonde Road Block,TN32020,South,Machinga,GRID,PREPAID,600,490,579,790,279,3543,3620,77,3.6,,,,
Liwonde Residential,TN33003,South,Machinga,GRID,PREPAID,1000,370,0,320,50,11784,11805,21,2.4,,,,
Liwonde MTL,TN33002,South,Machinga,GRID,postpaid,800,420,0,150,270,2900,2969,69,3.9,,,,
Namanolo,TN32012,South,Machinga,GRID,PREPAID,600,320,458,120,658,6954,7613,659,1.0,,,,
Ulongwe DG 2,TN32018,South,Machinga,GRID,POSTPAID ,600,780,0,730,50,7949,7972,23,2.2,,,,
Mkwepere,TN33014,South,Machinga,OFF GRID,,1000,718,592,790,520,6298,6516,218,2.4,,,,
MOBILE DG ZOMBA,TNMSRMOB01,South,Zomba,OFF GRID,AT CHAPOLA,1000,265,0,265,0,805,805,0,#DIV/0!,,,,
Lizulu,TN21005,South,Ntcheu,OFF GRID,OFF GRID,600,600,583,600,583,29267,29571,304,1.9,,,,
Phombeya Fiber Repeater,TN32015,South,Balaka,GRID,OFF GRID,1000,746,0,673,73,3823,3856,33,2.2,,,,
Mota 3.2,TN49003,South,Balaka,OFF GRID,OFF GRID,600,517,616,798,335,1080,1148,68,4.9,,,,
Kandeu,TN21004,South,Balaka,GRID,PREPAID,600,642,0,628,14,25186,25191,5,2.8,,,,
Balaka  BSC,TN32002,South,Balaka,GRID,PREPAID,1000,596,0,596,0,1484,1484,0,#DIV/0!,,,,
