Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage,,
Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid,500,500,0,212,288,21771,21816,45,6.4,,540,5662,,,Bangwe Clinic 
Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid,1000,700,0,590,110,16354,16416,62,1.8,,0,4917,,,Bangwe Police
BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid,500,450,0,420,30,621,623,2,15.0,,8361,7261,,,BCA Hill
Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid,600,600,0,300,300,2225,2307,82,3.7,,0,0,,,Bvumbwe
Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,0,450,550,4697,4873,176,3.1,,0,0,,,Chilomoni Hema
Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid,500,500,0,440,60,20619,20648,29,2.1,,0,5122,,,Chemusa
Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid,600,350,483,500,333,799,997,198,1.7,,3618,7277,,,Chichiri school
Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,500,500,253,500,253,10944,11013,69,3.7,,0,0,,,Chichiri shop
Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid,600,500,0,440,60,9738,9759,21,2.9,,191,5313,,,Chikuli
Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid,600,340,566,600,306,11163,11251,88,3.5,,0,0,,,Chilobwe
Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid,1000,990,0,990,0,8706,8706,0,#DIV/0!,,481,7099,,,Chilomoni Police
Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid,1000,640,1560,920,1280,8427,8829,402,3.2,,0,0,,,Chilomoni Fargo
CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid,500,400,0,215,185,32478,32495,17,10.9,,564,4954,,,CHIMALIRO
Chiradzulo Hosp,TN42003,Blantyre,Chiradzulo,Grid,Prepaid,600,600,0,580,20,17483,17496,13,1.5,,3919,4051,,,Chiradzulo Hosp
Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid,1000,980,0,800,180,2999,3056,57,3.2,,0,0,,,Chisitu
Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid,1000,990,0,400,590,5259,5402,143,4.1,,0,0,,,Chigumula extension
Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid,500,430,320,420,330,16055,16145,90,3.7,,0,0,,,Faiti
Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid,1000,1000,703,980,723,12090,12399,309,2.3,,19122,19122,,,Fatima
