Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Area 21,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,600,508,0,508,0,252,252,0,#DIV/0!,0,0,0,0,,,,
Area 23 ,TN20024 ,Lilongwe,Lilongwe,Grid,Postpaid,500,364,0,364,0,12620,12633,13, -   ,0,0,0,0,,,,
Area 23 Extension,TN20028 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,633,100,641,92,5005,5037,32, 2.9 ,0,0,0,0,,,,
Biwi Township,TN20084 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,760,0,740,20,2516,2524,8, 2.5 ,0,0,0,0,,,,
Mbwatalika,TN23089 ,Lilongwe,Lilongwe,Grid,Prepaid,600,279,0,279,0,18730,18731,1, -   ,0,0,0,0,,,,
Chinsapo T/C,TN20098 ,Lilongwe,Lilongwe,Grid,Prepaid,600,908,0,738,170,3311,3379,68, 2.5 ,0,0,0,0,,,,
Chisoso,TN24021 ,Lilongwe,Lilongwe,Grid,Postpaid,1000,510,350,690,170,2560,2638,78, 2.2 ,0,0,0,0,,,,
Chitipi,TN20102 ,Lilongwe,Lilongwe,Grid,Prepaid,600,550,1246,472,1324,12775,13437,662, 2.0 ,0,0,0,0,,,,
Gologota,TN20026 ,Lilongwe,Lilongwe,Grid,Prepaid,600,417,300,395,322,1306,1476,170, 1.9 ,0,0,0,0,,,,
Kabudula,TN20109 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,820,0,750,70,19852,19879,27, 2.6 ,0,0,0,0,,,,
Kamuzu Barracks,TN20113 ,Lilongwe,Lilongwe,Grid,Prepaid,600,736,0,736,0,2310,2312,2, -   ,0,0,0,0,,,,
Kawale,TN20123 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,200,350,350,3675,3761,86, 4.1 ,0,0,0,0,,,,
Likuni MTL,TN20128 ,Lilongwe,Lilongwe,Grid,Prepaid,100,300,200,300,200,29426,29582,156, 1.3 ,0,0,0,0,,,,
Chakhaza,TN24018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,350,690,350,3193,3323,130, 2.7 ,0,0,0,0,,,,
Area 23 Midlands,TN20029 ,Lilongwe,Lilongwe,Grid,Prepaid,600,350,450,412,388,22593,22725,132, 2.9 ,0,0,0,0,,,,
Mphepo,TN25030 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,362,1000,362,2310,2428,118, 3.1 ,0,0,0,0,,,,
Njewa,TN20158 ,Lilongwe,Lilongwe,Grid,Prepaid,600,850,300,300,850,7082,7415,333, 2.6 ,0,0,0,0,,,,
NRC,TN20162 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,890,0,800,90,7339,7368,29, 3.1 ,0,0,0,0,,,,
Nsalu,TN23164 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,650,500,620,530,13193,13445,252, 2.1 ,0,0,0,0,,,,
Nsundwe,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,500,440,0,420,20,17782,17793,11, 1.8 ,0,0,0,0,,,,
Sports Complex,TN20134 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,37,60,37,66,66,0,#DIV/0!,0,0,0,0,,,,
State Residences,TN20115 ,Lilongwe,Lilongwe,Grid,Prepaid,600,591,0,591,0,14470,14470,0,#DIV/0!,0,0,0,0,,,,
ARET,TN20082 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,84,100,84,30312,30338,26, 3.2 ,0,0,0,0,,,,
AOG,TN20005 ,Lilongwe,Lilongwe,Grid,Prepaid,100,50,116,100,66,3503,3536,33, 2.0 ,0,0,0,0,,,,
LL Office,TN20132 ,Lilongwe,Lilongwe,Grid,Prepaid,200,190,164,200,154,5547,5548,1, 154.0 ,0,0,0,0,,,,
Technical centre 1,LLDC001,Lilongwe,Lilongwe,Grid,Prepaid,1000,820,359,1000,179,652,656,4, 44.8 ,0,0,0,0,,,,
Technical centre 2 ,LLDC002,Lilongwe,Lilongwe,Grid,Prepaid,500,340,0,340,0,1938,1938,0,#DIV/0!,0,0,0,0,,,,
Area 25 Nsungwi,TN20166 ,Lilongwe,Lilongwe,Grid,Prepaid,600,419,0,414,5,524,532,8, 0.6 ,0,0,0,0,,,,
Mgona,TN20155 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,585,0,551,34,12992,13006,14, 2.4 ,0,0,0,0,,,,
Area 49 Dubai,TN20072 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,680,0,450,230,7821,7883,62, 3.7 ,0,0,0,0,,,,
Dzenza,TN20105 ,Lilongwe,Lilongwe,Grid,Prepaid,500,485,0,422,63,14141,14194,53, 1.2 ,0,0,0,0,,,,
Area 48,TN20069 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,200,400,300,16308,16388,80, 3.8 ,0,0,0,0,,,,
AREA 4,TN20059 ,Lilongwe,Lilongwe,Grid,Prepaid,600,800,0,730,70,2769,2796,27, 2.6 ,0,0,0,0,,,,
Mtandile,TN20150 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,27139,27139,0,#DIV/0!,0,0,0,0,,,,
Area 43 Extension,TN20063 ,Lilongwe,Lilongwe,Grid,Prepaid,600,443,0,430,13,2799,2803,4, 3.3 ,0,0,0,0,,,,
Chiwamba,TN23103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,0,335,65,11032,11058,26, 2.5 ,0,0,0,0,,,,
Area 43 Africa House,TN20061 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,492,108,15962,16007,45, 2.4 ,0,0,0,0,,,,
Lisandwa,TN25031 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,500,750,750,1763,1973,210, 3.6 ,0,0,0,0,,,,
