Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage
LIWALADZI,TN26007,North,NKHOTAKOTA,Grid,Prepaid,1000,404,0,385,19,5507,5522,15, 1.3 ,0,0,0,0
KASASA,TN26005,North,NKHOTAKOTA,Grid,Prepaid,1000,873,0,824,49,1420,1445,25, 2.0 ,0,0,0,0
DWANGWA FACTORY,TN26003,North,NKHOTAKOTA,Grid,Prepaid,1000,987,0,960,27,1098,1112,14, 1.9 ,0,0,0,0
DWANGWA TRADING,TN26004,North,NKHOTAKOTA,Grid,Prepaid,600,902,0,810,92,1917,1956,39, 2.4 ,100,2927,800,2227
NGALA,TN10076,North,NKHOTAKOTA,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0
TUKOMBO,TN13004,North,NKHATABAY,Grid,Postpaid,1000,783,0,550,233,2550,2645,95, 2.5 ,17111,0,11875,5236
KABUNDI,TN15034,North,NKHATABAY,Grid,Prepaid,600,780,1252,900,1132,12298,12524,226, 5.0 ,0,0,0,0
CHIKWINA,TN12002,North,NKHATABAY,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0
MZUZU BSC EXCHANGE,TN13002,North,MZUZU,Grid,Prepaid,2000,1848,1060,1980,928,4003,4092,89, 10.4 ,2007,13236,910,14333
MZUZU GESTETNER,TN11010,North,MZUZU,Grid,Prepaid,1000,970,262,800,432,3081,3255,174, 2.5 ,1687,2927,1007,3607
MZUZU OFFICE,TN10062,North,MZUZU,Grid,Prepaid,210,178,201,100,279,5640,5723,83, 3.4 ,1028,3973,1560,3441
MZUZU CHIMALIRO,TN10069,North,MZUZU,Grid,Prepaid,1000,790,164,860,94,7314,7356,42, 2.2 ,286,3658,1120,2824
MZUZU FOREST,TN10065,North,MZUZU,Grid,Prepaid,210,600,293,300,593,12474,12803,329, 1.8 ,575,2927,1650,1852
USISYA,TN10079,North,NKHATABAY,Grid,Prepaid,600,487,300,490,297,14629,14725,96, 3.1 ,987,2561,1950,1598
