Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
WALALA,TN42011,South,Zomba,GRID,PREPAID,1000,494,0,401,93,2978,3022,44, 2.20 ,494,,,,WALALA
NASAWA ,TN31023,South,Zomba,GRID,PREPAID,600,520,205,600,125,22778,22848,70, 1.47 ,520,,,,NASAWA 
DZAONE,TN31028,South,Zomba,GRID,PREPAID,600,812,1653,1000,1465,6040,6587,547, 2.43 ,812,,,,DZAONE
ZOMBA ESCOM,TN30031,South,Zomba,GRID,POSTPAID,600,582,0,582,0,11515,11515,0,#DIV/0!,582,,,,ZOMBA ESCOM
THONDWE,TN31027,South,Zomba,OFF GRID ,,600,761,941,976,726,13689,13894,205, 3.25 ,761,,,,THONDWE
ZOMBA WICO MOBILE,TN30035,South,Zomba,GRID,POSTPAID ACCESS,600,570,0,411,159,15969,16057,88, 1.72 ,570,,,,ZOMBA WICO MOBILE
CHICHIRI_SCHOOL,TN30030,South,Zomba,GRID ,PREPAID ,600,1000,0,990,10,402,406,4, 2.38 ,1000,,,,CHICHIRI_SCHOOL
LIKUNGWATI,TN30009,South,Zomba,GRID,PREPAID,600,857,0,714,143,3267,3307,40, 4.14 ,857,,,,LIKUNGWATI
KAMOTO,TN44004,South,Chiradzulo,OFF GRID ,OFF GRID,600,248,928,740,436,6597,6739,142, 2.45 ,248,,,,KAMOTO
NAISI ,TN30021,South,Zomba,GRID,PREPAID,600,1030,0,988,42,8086,8101,15, 2.83 ,1030,,,,NAISI 
DOMASI,TN31004,South,Zomba,GRID,PREPAID,800,600,0,589,11,23339,23344,5, 1.56 ,600,,,,DOMASI
JALI,TN31005,South,Zomba,GRID,POSTPAID MTL,600,444,284,600,128,13837,13903,66, 2.31 ,444,,,,JALI
PHALOMBE,TN45012,South,Phalombe,GRID,POSTPAID,600,600,0,545,55,34229,34248,19, 2.42 ,600,,,,PHALOMBE
NOLO (NEW),TN45009,South,Phalombe,GRID,PREPAID,600,850,0,817,33,16965,16978,13, 2.90 ,850,,,,NOLO (NEW)
NJUMWA NEW,TN45007,South,Phalombe,GRID,PREPAID MTL,1000,970,0,896,74,9355,9387,32, 2.93 ,970,,,,NJUMWA NEW
OLD NAISI NEWLINES,TN30039,South,Zomba,OFF GRID,OFF GRID,600,444,0,411,33,20588,20603,15,#DIV/0!,444,,,,OLD NAISI NEWLINES
CHIRINGA,TN45001,South,Phalombe,OFF GRID ,,1000,800,1634,1000,1434,3469,3935,466, 2.87 ,800,,,,CHIRINGA
ST MARYS,TN30034,South,Zomba,GRID,PREPAID,600,320,600,600,320,127,230,103,#DIV/0!,320,,,,ST MARYS
SADZI,TN30024,South,Zomba,GRID,PREPAID,600,457,0,457,0,12900,12900,0,#DIV/0!,457,,,,SADZI
CHANCO,TN30001,South,Zomba,GRID,PREPAID,600,989,0,910,79,3312,3344,32, 2.33 ,989,,,,CHANCO
KACHULU,TN31007,South,Zomba,GRID,PREPAID,600,550,0,550,0,22248,22248,0,#DIV/0!,550,,,,KACHULU
NANDOLO,TN30022,South,Zomba,GRID,PREPAID,1000,584,0,564,20,14291,14300,9, 2.07 ,584,,,,NANDOLO
MULUNGUZI,TN30020,South,Zomba,GRID,PREPAID,800,600,0,565,35,14125,14139,14, 2.15 ,600,,,,MULUNGUZI
COBBE,TN30043,South,Zomba,GRID,PREPAID,600,472,208,600,80,11777,11795,18, 2.15 ,472,,,,COBBE
MPITA TRADING,TN45005,South,Machinga,GRID,PREPAID,800,266,491,252,505,18106,18344,238, 2.08 ,266,,,,MPITA TRADING
CHISUGULU - HILL,TN45002,South,Phalombe,OFF GRID ,OFF GRID,600,800,0,776,24,6886,6892,6, 22.38 ,800,,,,CHISUGULU - HILL
MKAMWA,TN30018,South,Zomba,OFF GRID ,OFF GRID,600,530,410,566,374,19261,19389,128, 3.04 ,530,,,,MKAMWA
ZOMBA DAM,TN30040,South,Zomba,GRID,PREPAID,600,600,0,558,42,9338,9369,31, 1.93 ,600,,,,ZOMBA DAM
ZOMBA CENTRAL,TN30029,South,Zomba,GRID,PREPAID,600,958,1602,1000,1560,3141,3504,363, 4.00 ,958,,,,ZOMBA CENTRAL
MCHEMA,TN42004,South,Zomba,OFF GRID ,OFF GRID,600,450,872,920,402,4992,5095,103, 2.60 ,450,,,,MCHEMA
AT Nasawa (Former JALI HILL),TN31023,South,Zomba,GRID,PREPAID,600,0,0,0,0,0,0,0,#DIV/0!,0,,,,AT Nasawa (Former JALI HILL)
CHISUGULU NEW DG,TN45002,South,Zomba,OFF GRID,,600,454,789,1000,243,6909,6940,31, 5.20 ,454,,,,CHISUGULU NEW DG
Mphyuphyu,TN31019,South,Zomba,OFF GRID ,,600,1000,0,750,250,11254,11382,128, 2.30 ,1000,,,,Mphyuphyu
Mikongoni Hill,TN45004,South,Phalombe,OFF GRID,,600,900,0,850,50,5839,5859,20, 2.07 ,900,,,,Mikongoni Hill
Thom Allan,TN30041,South,Zomba,OFF GRID,,600,946,399,1000,345,8871,9008,137, 2.89 ,946,,,,Thom Allan
ZA CENTRAL Ex Likungwati,TN30029,South,Zomba,GRID,PREPAID,600,600,0,514,86,9186,9206,20,#DIV/0!,600,,,,ZA CENTRAL Ex Likungwati
Mposa,TN33017,South,Machinga,OFF GRID,,1000,620,0,480,140,9675,9750,75, 2.00 ,620,,,,Mposa
Nayuchi,TN33009,South,Machinga,GRID,PREPAID,1000,470,0,400,70,29040,29075,35, 1.76 ,470,,,,Nayuchi
Nselema,TN33012,South,Machinga,GRID,PREPAID,800,390,0,243,147,12085,12171,86, 1.93 ,390,,,,Nselema
Chikweo,TN33001,South,Machinga,GRID,PREPAID,600,432,0,370,62,3243,3273,30, 2.31 ,432,,,,Chikweo
Mwima,TN32010,South,Machinga,GRID,postpaid,800,600,1242,525,1317,20220,20754,534, 2.57 ,600,,,,Mwima
Ulongwe,TN32018,South,Machinga,GRID,postpaid,800,450,0,300,150,15790,15856,66, 2.26 ,450,,,,Ulongwe
Ntaja,TN33013,South,Machinga,GRID,postpaid,1000,475,0,350,125,16721,16774,53, 2.57 ,475,,,,Ntaja
Nsanama,TN33011,South,Machinga,GRID,PREPAID,600,150,1612,600,1162,12692,13291,599, 3.24 ,150,,,,Nsanama
Mvuu camp,TN33006,South,Machinga,OFF GRID ,,600,500,0,192,308,3549,3671,122, 2.74 ,500,,,,Mvuu camp
Namanja,TN33007,South,Machinga,GRID,PREPAID,600,320,450,680,90,25062,25095,33, 2.89 ,320,,,,Namanja
Liwonde Road Block,TN32020,South,Machinga,GRID,PREPAID,600,740,0,550,190,3635,3704,69, 3.33 ,740,,,,Liwonde Road Block
Liwonde Residential,TN33003,South,Machinga,GRID,PREPAID,1000,320,0,221,99,11805,11848,43,#DIV/0!,320,,,,Liwonde Residential
Liwonde MTL,TN33002,South,Machinga,GRID,postpaid,800,500,0,235,265,3027,3127,100, 2.24 ,500,,,,Liwonde MTL
Namanolo,TN32012,South,Machinga,GRID,PREPAID,600,540,0,350,190,7636,7718,82, 6.00 ,540,,,,Namanolo
