Sites Name,Region,District,Site Status,If Grid           (Postpaid/Prepaid), Tank Size (Litres) , Opening Litres , Disbursed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run ,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Bangwe Clinic ,Blantyre,Blantyre,Grid,Prepaid,500,480,170,500,170,21705,21747,42,4, -   , -   , -   , -   
Bangwe Police,Blantyre,Blantyre,Grid,Prepaid,1000,1000,361,1000,361,16166,16220,54,6.7, -   , -   , -   , -   
BCA Hill,Blantyre,Blantyre,Grid,Prepaid,500,500,462,490,462,418,607,189,2.4, -   , -   , -   , -   
Bvumbwe,Blantyre,Thyolo,Grid,Prepaid,600,600, -   ,540, -   ,2116,2137,21, -   , -   , -   , -   , -   
Chilomoni Hema,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,877,630,877,3745,4171,426,2.1, -   , -   , -   , -   
Chemusa,Blantyre,Blantyre,Grid,Prepaid,500,250,491,500,491,20438,20511,73,6.7, -   , -   , -   , -   
Chichiri school,Blantyre,Blantyre,Grid,Prepaid,600,380,388,430,388,631,781,150,2.6, -   , -   , -   , -   
Chichiri shop,Blantyre,Blantyre,Grid,Prepaid,500,150,400,500,400,10643,10944,301,1.3, -   , -   , -   , -   
Chikuli,Blantyre,Blantyre,Grid,Prepaid,600,410, -   ,360, -   ,9617,9639,22, -   , -   , -   , -   , -   
Chilobwe,Blantyre,Blantyre,Grid,Prepaid,600,600, -   ,460, -   ,11065,11114,49, -   , -   , -   , -   , -   
Chilomoni Police,Blantyre,Blantyre,Grid,Prepaid,1000,220, -   ,180, -   ,8565,8591,26, -   , -   , -   , -   , -   
Chilomoni Fargo,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,1885,1000,1885,6912,7529,617,3.1, -   , -   , -   , -   
CHIMALIRO,Blantyre,Blantyre,Grid,Prepaid,500,500, -   ,480, -   ,32441,32451,10, -   , -   , -   , -   , -   
Chiradzulu Hosp,Blantyre,Chiradzulu,Grid,Prepaid,600,450,243,490,243,17259,17403,144,1.7, -   , -   , -   , -   
Chisitu,Blantyre,Mulanje,Grid,Prepaid,1000,1000, -   ,995, -   ,2853,2855,2, -   , -   , -   , -   , -   
