Sites Name,Site ID,Region,District,Site Status          (Grid/Prime),If Grid           (Postpaid/Prepaid), Tank Size (Litres) , Opening Litres , Disbursed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run ,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid,500,480,170,500,150,21705,21747,42,3.6, -   , -   , -   , -   
Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid,1000,1000,361,1000,361,16166,16220,54,6.7, -   , -   , -   , -   
BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid,500,500,462,490,472,418,607,189,2.5, -   , -   , -   , -   
Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid,600,600, -   ,540,60,2116,2137,21,2.9, -   , -   , -   , -   
Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,877,630,1247,3745,4171,426,2.9, -   , -   , -   , -   
Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid,500,250,491,500,241,20438,20511,73,3.3, -   , -   , -   , -   
Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid,600,380,388,430,338,631,781,150,2.3, -   , -   , -   , -   
Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,500,150,400,500,50,10643,10944,301,0.2, -   , -   , -   , -   
Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid,600,410, -   ,360,50,9617,9639,22,2.3, -   , -   , -   , -   
Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid,600,600, -   ,460,140,11065,11114,49,2.9, -   , -   , -   , -   
Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid,1000,220, -   ,180,40,8565,8591,26,1.5, -   , -   , -   , -   
Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,1885,1000,1885,6912,7529,617,3.1, -   , -   , -   , -   
CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid,500,500, -   ,480,20,32441,32451,10,2, -   , -   , -   , -   
Chiradzulu Hosp,TN42003,Blantyre,Chiradzulu,Grid,Prepaid,600,450,243,490,203,17259,17403,144,1.4, -   , -   , -   , -   
Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid,1000,1000, -   ,995,5,2853,2855,2,2.5, -   , -   , -   , -   
Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid,1000,670,737,990,417,4697,4778,81,5.1, -   , -   , -   , -   
Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid,500,500, -   ,460,40,15954,15985,31,1.3, -   , -   , -   , -   
Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid,1000,540, -   ,530,10,11541,11544,3,3.3, -   , -   , -   , -   
Henred,TN40040,Blantyre,Blantyre,Grid,Prepaid,1000,408,651,980,79,3698,3711,13,6.1, -   , -   , -   , -   
HHI,TN40041,Blantyre,Blantyre,Grid,Prepaid,600,600, -   ,590,10,11999,12003,4,2.5, -   , -   , -   , -   
Illovo,TN46006,Blantyre,Chikwawa,Grid,Prepaid,1000,900, -   ,880,20,414,420,6,3.3, -   , -   , -   , -   
Nchalo Shop,TNMShop,Blantyre,Chikwawa,Grid,Prepaid,100,100, -   ,100, -   ,13880,13880, -   ,#DIV/0!, -   , -   , -   , -   
Kadzimete  ,TN48006,Blantyre,Chikwawa,Grid,Prepaid,1000,350,780,770,360,3452,3514,62,5.8, -   , -   , -   , -   
Kanjedza,TN40047,Blantyre,Blantyre,Grid,Prepaid,500,260, -   ,250,10,17816,17826,10,1, -   , -   , -   , -   
Khama,TN40149,Blantyre,Blantyre,Off Grid,Prepaid,1000,440,782,650,572,5602,5850,248,2.3, -   , -   , -   , -   
Limbe TNM Shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,150,25, -   ,13,12,2685,2685, -   ,#DIV/0!, -   , -   , -   , -   
Limbe Town,TN40055,Blantyre,Blantyre,Grid,Prepaid,100,50, -   ,10,40,12486,12521,35,1.1, -   , -   , -   , -   
Lirangwe,TN41056,Blantyre,Blantyre,Grid,Prepaid,600,380, -   ,380, -   ,13759,13759, -   ,#DIV/0!, -   , -   , -   , -   
Lunzu,TN40059,Blantyre,Blantyre,Grid,Prepaid,600,600, -   ,380,220,18790,18861,71,3.1, -   , -   , -   , -   
Machinjiri Hill,TN40060,Blantyre,Blantyre,Grid,Prepaid,600,354, -   ,348,6,15943,15945,2,3, -   , -   , -   , -   
Manja,TN40069,Blantyre,Blantyre,Grid,Prepaid,1000,400,876,1000,276,10624,10874,250,1.1, -   , -   , -   , -   
Matindi,TN41073,Blantyre,Blantyre,Grid,Prepaid,600,450, -   ,390,60,16649,16668,19,3.2, -   , -   , -   , -   
Mbame,TN41074,Blantyre,Blantyre,Grid,Prepaid,600,565, -   ,450,115,19790,19841,51,2.3, -   , -   , -   , -   
Mbayani,TN40075,Blantyre,Blantyre,Grid,Prepaid,1000,400, -   ,396,4,16698,16700,2,2, -   , -   , -   , -   
CEO residence,tnmres,Blantyre,Blantyre,Grid,Prepaid,600,600, -   ,600, -   ,14808,14808, -   ,#DIV/0!, -   , -   , -   , -   
QECH,TN40151,Blantyre,Blantyre,Grid,Prepaid,600,190, -   ,260,-70,15502,15502, -   ,#DIV/0!, -   , -   , -   , -   
Milepa,TN42005,Blantyre,Chiradzulu,Grid,Prepaid,1000,250,750,950,50,4874,4887,13,3.8, -   , -   , -   , -   
Mimosa,TN44008,Blantyre,Mulanje,Grid,Prepaid,500,700, -   ,620,80,13831,13869,38,2.1, -   , -   , -   , -   
Misesa,TN40078,Blantyre,Blantyre,Grid,Prepaid,1000,1000, -   ,600,400,6245,6433,188,2.1, -   , -   , -   , -   
Mpemba Hill,TN41149,Blantyre,Blantyre,Off Grid,Prepaid,1000,517,1031,690,858,3289,3560,271,3.2, -   , -   , -   , -   
Manja Ext,TN40152,Blantyre,Blantyre,Off Grid,Prepaid,1000,680, -   ,585,95,4048,4081,33,2.9, -   , -   , -   , -   
Money Men,TN40009,Blantyre,Blantyre,Grid,Prepaid,1000,730, -   ,560,170,18310,18363,53,3.2, -   , -   , -   , -   
Mpemba,TN40081,Blantyre,Blantyre,Grid,Prepaid,1000,880, -   ,860,20,5987,5994,7,2.9, -   , -   , -   , -   
Mpingwe,TN40138,Blantyre,Blantyre,Grid,Prepaid,500,490, -   ,480,10,2909,2914,5,2, -   , -   , -   , -   
Mt Pleasant,TN40080,Blantyre,Blantyre,Grid,Prepaid,1000,900, -   ,840,60,1461,1473,12,5, -   , -   , -   , -   
Ndirande Nchalo,TN46027,Blantyre,Chikwawa,Grid,Prepaid,1000,580,427,600,407,1922,2056,134,3, -   , -   , -   , -   
Mulongolela,TN48002,Blantyre,Mulanje,Prime,Prepaid,600,324,571,400,495,15719,15926,207,2.4, -   , -   , -   , -   
Muloza,TN44013,Blantyre,Mulanje,Grid,Prepaid,1000,760,1269,1000,1029,12204,12556,352,2.9, -   , -   , -   , -   
Mwanza Residential,TN48007,Blantyre,Mwanza,Grid,Prepaid,,, -   ,, -   ,,,,#DIV/0!, -   , -   , -   , -   
Namiwawa,TN40087,Blantyre,Blantyre,Grid,Prepaid,1000,320,657,620,357,3961,4099,138,2.6, -   , -   , -   , -   
Green Malata,TN40039,Blantyre,Blantyre,Grid,Prepaid,600,400,872,570,702,3455,3688,233,3, -   , -   , -   , -   
Naperi,TN40093,Blantyre,Blantyre,Grid,Prepaid,1000,850, -   ,310,540,22569,22699,130,4.2, -   , -   , -   , -   
Ndirande Peak,TN40139,Blantyre,Blantyre,Grid,Prepaid,600,47,681,600,128,4142,4215,73,1.8, -   , -   , -   , -   
Ndirande Town,TN40098,Blantyre,Blantyre,Grid,Prepaid,600,480,138,600,18,36713,36722,9,2, -   , -   , -   , -   
Neno Turn Off,TN49006,Blantyre,Neno,Grid,Prepaid,1000,1000,1801,830,1971,8588,9465,877,2.2, -   , -   , -   , -   
Ngumbe,TN40101,Blantyre,Blantyre,Grid,Prepaid,1000,920, -   ,640,280,9950,10032,82,3.4, -   , -   , -   , -   
Njuli Hill,TN41104,Blantyre,Blantyre,Grid,Prepaid,1000,390, -   ,320,70,7604,7643,39,1.8, -   , -   , -   , -   
Nkando,TN44017,Blantyre,Mulanje,Grid,Prepaid,600,280, -   ,260,20,19279,19291,12,1.7, -   , -   , -   , -   
Nkolokosa,TN40134,Blantyre,Blantyre,Grid,Prepaid,500,500, -   ,490,10,21572,21576,4,2.5, -   , -   , -   , -   
Nkolokoti,TN40105,Blantyre,Blantyre,Grid,Prepaid,1000,230,818,960,88,14689,14705,16,5.5, -   , -   , -   , -   
Nsanje,TN47007,Blantyre,Nsanje,Grid,Prepaid,600,540, -   ,520,20,19707,19714,7,2.9, -   , -   , -   , -   
Nthukwa,TN40106,Blantyre,Blantyre,Grid,Prepaid,600,600,351,600,351,22879,23004,125,2.8, -   , -   , -   , -   
Nyambadwe,TN40107,Blantyre,Blantyre,Grid,Prepaid,1000,370, -   ,362,8,1085,1088,3,2.7, -   , -   , -   , -   
Pasani,TN44018,Blantyre,Mulanje,Prime,Prepaid,1000,1000,963,850,1113,6111,6485,374,3, -   , -   , -   , -   
Premier Lodge,TN40111,Blantyre,Blantyre,Grid,Prepaid,600,444,174,552,66,14371,14387,16,4.1, -   , -   , -   , -   
Railways,TN40112,Blantyre,Blantyre,Grid,Prepaid,600,400,160,220,340,19164,19410,246,1.4, -   , -   , -   , -   
Salambidwe,TN46025,Blantyre,Nsanje,Prime,Prepaid,1000,700, -   ,460,240,31367,31442,75,3.2, -   , -   , -   , -   
Motel Paradise,TN40153,Blantyre,Blantyre,Grid,Prepaid,1000,350,808,790,368,4182,4439,257,1.4, -   , -   , -   , -   
Naming'omba,TN43033,Blantyre,Mulanje,Off Grid,Prepaid,1000,790, -   ,380,410,4671,4809,138,3, -   , -   , -   , -   
Sigerege,TN40117,Blantyre,Blantyre,Off Grid,Prepaid,1000,1000,910,540,1370,11331,12347,1016,1.3, -   , -   , -   , -   
Sorgin,TN47010,Blantyre,Nsanje,Grid,Prepaid,600,550, -   ,550, -   ,22816,22816, -   ,#DIV/0!, -   , -   , -   , -   
SunnySide,TN40121,Blantyre,Blantyre,Grid,Prepaid,1000,1000, -   ,870,130,6666,6704,38,3.4, -   , -   , -   , -   
Pakeni,TN40158,Blantyre,Blantyre,Off Grid,Prepaid,1000,650,922,880,692,3345,3648,303,2.3, -   , -   , -   , -   
Tengani,TN47011,Blantyre,Nsanje,Grid,Prepaid,1000,350,1704,480,1574,3474,4127,653,2.4, -   , -   , -   , -   
Thambani,TN48005,Blantyre,Nsanje,Prime,Prepaid,1000,500, -   ,190,310,19092,19182,90,3.4, -   , -   , -   , -   
Mbulumbuzi,TN41013,Blantyre,Chiradzulu,Off Grid,Prepaid,1000,1000,758,1000,758,3203,3539,336,2.3, -   , -   , -   , -   
Thekerani,TN43016,Blantyre,Thyolo,Grid,Prepaid,600,530, -   ,515,15,23615,23625,10,1.5, -   , -   , -   , -   
Thyolo Number One,TN43023,Blantyre,Thyolo,Grid,Prepaid,600,380,268,590,58,12225,12246,21,2.8, -   , -   , -   , -   
