Sites Name,Region,District,Site Status,ESCOM, Tank Size ,Opening  Litres , Litres Dispensed ,Closing Litres ,Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
LIWALADZI,North,NKHOTAKOTA,Grid,Prepaid,1000,1000, -   ,870,130,5249,5319,70,2, -   , -   , -   , -   
KASASA,North,NKHOTAKOTA,Grid,Prepaid,1000,960,160,978,142,1330,1371,41,3, -   , -   , -   , -   
DWANGWA FACTORY,North,NKHOTAKOTA,Grid,Prepaid,1000,690, -   ,624,66,994,1024,30,2, -   , -   , -   , -   
DWANGWA TRADING,North,NKHOTAKOTA,Grid,Prepaid,600,670,366,966,70,1856,1884,28,3,600,2927, -   ,3527
NGALA,North,NKHOTAKOTA,Grid,Prepaid,600,300, -   , -   ,300,12304,12480,176,2, -   , -   , -   , -   
TUKOMBO,North,Nkhata bay,Grid,Postpaid,1000,1000, -   ,956,44,2461,2481,20,2,18021, -   ,17111,910
KABUNDI,North,Nkhata bay,Grid,Prepaid,600,626,1469,876,1219,11420,11825,405,3, -   , -   , -   , -   
CHIKWINA,North,Nkhata bay,Grid,Prepaid,600, -   , -   , -   , -   , -   , -   , -   ,#DIV/0!, -   , -   , -   , -   
Mzimba BSC EXCHANGE,North,Mzimba,Grid,Prepaid,2000,2000, -   ,1540,460,3871,3921,50,9,9006,8666,2007,15665
Mzimba GESTETNER,North,Mzimba,Grid,Prepaid,1000,892,918,1000,810,2506,2769,263,3,1897,2927,1687,3137
Mzimba OFFICE,North,Mzimba,Grid,Prepaid,210,210, -   ,170,40,5597,5618,21,2,1197,3658,1028,3827
Mzimba CHIMALIRO,North,Mzimba,Grid,Prepaid,1000,900, -   ,802,98,7197,7239,42,2,150,3658,286,3522
Mzimba FOREST,North,Mzimba,Grid,Prepaid,210,600,358,500,458,11685,11939,254,2,200,2927,575,2552
USISYA,North,Nkhata bay,Grid,Prepaid,600,600, -   ,487,113,14343,14474,131,1,500,2561,987,2074
NKHORONGO,North,Mzimba,Grid,Prepaid,600,525,122,600,47,7570,7598,28,2,100,2927,500,2527
Mzimba CHIBANJA,North,Mzimba,Grid,Prepaid,1000,970, -   ,880,90,6977,7013,36,3,250,2927,447,2730
KATOTO,North,Mzimba,Grid,Prepaid,60,600, -   ,558,42,7559,7581,22,2,320,2927,900,2347
MCHENGAUTUBA,North,Mzimba,Grid,Prepaid,1000,747, -   ,678,69,3458,3481,23,3,2061,5124,1008,6177
LUSANGAZI,North,Mzimba,Grid,Prepaid,600,570, -   ,534,36,1448,1468,20,2,1891,2927,950,3868
LUWAWA FOREST,North,MZIMBA,OFFGRID,Prepaid,800,800,460,800,460,836,967,131,4, -   , -   , -   , -   
LWANJATI,North,MZIMBA,OFFGRID,Prepaid,800,500,879,800,579,30309,30461,152,4, -   , -   , -   , -   
JENDA,North,MZIMBA,Grid,Prepaid,1000,640,759,1000,399,4132,4257,125,3,943,2927,840,3030
EDINGENI,North,MZIMBA,Grid,Prepaid,600,600,230,600,230,12199,12289,90,3,968,2927,1257,2638
LUPERERE,North,MZIMBA,OFFGRID,Prepaid,600,600,500,528,572,23630,23797,167,3, -   , -   , -   , -   
MANYAMULA,North,MZIMBA,Grid,Prepaid,600,600,291,600,291,14144,14305,161,2,1102,4026,1029,4099
ESWAZINI,North,MZIMBA,Grid,Prepaid,600,600,318,564,354,9411,9509,98,4, -   , -   , -   , -   
MPHEREMBE,North,MZIMBA,Grid,Prepaid,600,1000, -   ,780,220,4205,4308,103,2,899,2927,999,2827
RUMPHI TOWN,North,RUMPHI,Grid,Prepaid,600,600, -   ,561,39,10004,10020,16,2,900,2927,801,3026
BOLERO,North,RUMPHI,Grid,Prepaid,210,600, -   ,553,47,11639,11660,21,2,750,2927,652,3025
THAZIMA,North,RUMPHI,OFFGRID,Prepaid,1000,1000,341,326,1015,7534,7864,330,3, -   , -   , -   , -   
CHILINDA/CHOSI,North,RUMPHI,OFFGRID,Prepaid,1000,120,1376,614,882,11828,12096,268,3, -   , -   , -   , -   
DOMWE,North,RUMPHI,OFFGRID,Prepaid,1000,595,1380,600,1375,6336,6609,273,5, -   , -   , -   , -   
MPHOMPHA,North,RUMPHI,OFFGRID,Prepaid,1000,1000, -   ,790,210,5104,5174,70,3, -   , -   , -   , -   
PHWEZI,North,RUMPHI,Grid,Prepaid,210,170,54,210,14,14388,14396,8,2,746,2927,412,3261
MLOWE,North,RUMPHI,OFFGRID,Prepaid,800,800,252,800,252,33789,33876,87,3, -   , -   , -   , -   
JALAWE,North,RUMPHI,Grid,Prepaid,210,204, -   ,204, -   ,4314,4314, -   ,#DIV/0!,3299, -   ,2011,1288
MWEYEYE,North,RUMPHI,Grid,Prepaid,600,560,470,600,430,6377,6615,238,2,2911, -   ,1504,1407
LIVINGSTONIA,North,RUMPHI,Grid,Prepaid,600,880, -   ,781,99,4127,4185,58,2, -   , -   , -   , -   
CHITIMBA,North,KARONGA,Grid,Prepaid,800,800, -   ,712,88,13288,13326,38,2,40,2927,400,2567
UNDANINGE,North,KARONGA,Grid,Prepaid,1000,713,240,936,17,2284,2299,15,1, -   , -   , -   , -   
NGARA,North,KARONGA,Grid,Prepaid,600,600, -   ,572,28,8904,8920,16,2,559,2927,385,3101
LUPEMBE,North,KARONGA,Grid,Prepaid,600,595, -   ,592,3, -   ,3,3,1,889,2561,1078,2372
MAYOKA,North,KARONGA,Grid,Prepaid,210,210,37,210,37,9250,9274,24,2, -   , -   , -   , -   
SONGWE,North,KARONGA,Grid,Prepaid,1000,1000,300,1000,300,4933,5047,114,3,608,2927,700,2835
MPATA,North,KARONGA,Grid,Prepaid,600,600, -   ,567,33,5035,5053,18,2,1248,2561,777,3032
MISUKU,North,KARONGA,Grid,Prepaid,600,1000, -   ,835,165,3781,3847,66,3,1561,2927,1401,3087
ELEPHANT TREE,North,KARONGA,Grid,Prepaid,600,776, -   ,440,336,995,1115,120,3,4310, -   ,2210,2100
BUNDI,North,Nkhata bay,OFFGRID,Prepaid,600,600, -   ,520,80,14628,14668,40,2, -   , -   , -   , -   
KARONGA PROPER,North,KARONGA,Grid,Prepaid,2000,78,544,570,52,3674,3687,13,4,439,5856,371,5924
MZIMBA MTL,North,MZIMBA,Grid,Prepaid,1000,906, -   ,863,43,2950,2971,21,2, -   , -   , -   , -   
BWENGU MTL,North,RUMPHI,Grid,Prepaid,1000,1000, -   ,958,42,2010,2033,23,2, -   , -   , -   , -   
LUBINGA ACCESS,North,Mzimba,Grid,Prepaid,600,508, -   ,474,34,10117,10135,18,2, -   , -   , -   , -   
MZIMBA HOSPITAL,North,MZIMBA,Grid,Prepaid,600,600,70,600,70,29554,29592,38,2,881,2561,1871,1571
CHINTHECHE MTL,North,Nkhata bay,Grid,Prepaid,600,476, -   ,373,103,5063,5104,41,3,901,2927,541,3287
BOTANIC,North,Mzimba,Grid,Prepaid,600,534, -   ,470,64,5746,5778,32,2,568,2927,847,2648
CLUB MARINA,North,KARONGA,Grid,Prepaid,600,600,185,600,185,8135,8243,108,2,910,2927,520,3317
Mzimba STADIUM,North,Mzimba,Grid,Prepaid,600,600,194,488,306,8174,8284,110,3,30,2927,308,2649
KATOTO SCHOOL,North,Mzimba,Grid,Prepaid,1000,980, -   ,827,153,1810,1859,49,3,301,5490,110,5681
KATAWA,North,Mzimba,Grid,Prepaid,600,500,210,495,215,8760,8843,83,3, -   , -   , -   , -   
MSENJERE,North,NKHOTAKOTA,Grid,Prepaid,600,471,384,581,274,10246,10327,81,3,906,2927,326,3507
HILL TOP,North,Mzimba,Grid,Prepaid,600,600, -   ,417,183,9764,9837,73,3,300,2927,580,2647
Nkhata bay HOSP,North,Nkhata bay,Grid,Prepaid,600,600,170,580,190,14290,14385,95,2,885,2927,890,2922
MOBILE DG,North,Nkhata bay,Grid,Prepaid,100, -   , -   , -   , -   , -   , -   , -   ,#DIV/0!, -   , -   , -   , -   
