,Sites Name,Site ID,Region,District,Site Status          (Grid/Prime),If Grid           (Postpaid/Prepaid), Tank Size (Litres) , Opening Litres , Disbursed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run ,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
1,Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid, 500 , 480 , 170 , 500 , 150 ," 21,705 "," 21,747 ", 42 , 3.6 , -   , -   , -   , -   
2,Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid," 1,000 "," 1,000 ", 361 ," 1,000 ", 361 ," 16,166 "," 16,220 ", 54 , 6.7 , -   , -   , -   , -   
3,BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid, 500 , 500 , 462 , 490 , 472 , 418 , 607 , 189 , 2.5 , -   , -   , -   , -   
4,Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid, 600 , 600 , -   , 540 , 60 ," 2,116 "," 2,137 ", 21 , 2.9 , -   , -   , -   , -   
5,Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid," 1,000 "," 1,000 ", 877 , 630 ," 1,247 "," 3,745 "," 4,171 ", 426 , 2.9 , -   , -   , -   , -   
6,Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid, 500 , 250 , 491 , 500 , 241 ," 20,438 "," 20,511 ", 73 , 3.3 , -   , -   , -   , -   
7,Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid, 600 , 380 , 388 , 430 , 338 , 631 , 781 , 150 , 2.3 , -   , -   , -   , -   
8,Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid, 500 , 150 , 400 , 500 , 50 ," 10,643 "," 10,944 ", 301 , 0.2 , -   , -   , -   , -   
9,Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid, 600 , 410 , -   , 360 , 50 ," 9,617 "," 9,639 ", 22 , 2.3 , -   , -   , -   , -   
10,Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid, 600 , 600 , -   , 460 , 140 ," 11,065 "," 11,114 ", 49 , 2.9 , -   , -   , -   , -   
11,Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid," 1,000 ", 220 , -   , 180 , 40 ," 8,565 "," 8,591 ", 26 , 1.5 , -   , -   , -   , -   
12,Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid," 1,000 "," 1,000 "," 1,885 "," 1,000 "," 1,885 "," 6,912 "," 7,529 ", 617 , 3.1 , -   , -   , -   , -   
13,CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid, 500 , 500 , -   , 480 , 20 ," 32,441 "," 32,451 ", 10 , 2.0 , -   , -   , -   , -   
14,Chiradzulo Hosp,TN42003,Blantyre,Chiradzulo,Grid,Prepaid, 600 , 450 , 243 , 490 , 203 ," 17,259 "," 17,403 ", 144 , 1.4 , -   , -   , -   , -   
15,Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid," 1,000 "," 1,000 ", -   , 995 , 5 ," 2,853 "," 2,855 ", 2 , 2.5 , -   , -   , -   , -   
16,Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid," 1,000 ", 670 , 737 , 990 , 417 ," 4,697 "," 4,778 ", 81 , 5.1 , -   , -   , -   , -   
17,Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid, 500 , 500 , -   , 460 , 40 ," 15,954 "," 15,985 ", 31 , 1.3 , -   , -   , -   , -   
18,Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid," 1,000 ", 540 , -   , 530 , 10 ," 11,541 "," 11,544 ", 3 , 3.3 , -   , -   , -   , -   
19,Henred,TN40040,Blantyre,Blantyre,Grid,Prepaid," 1,000 ", 408 , 651 , 980 , 79 ," 3,698 "," 3,711 ", 13 , 6.1 , -   , -   , -   , -   
20,HHI,TN40041,Blantyre,Blantyre,Grid,Prepaid, 600 , 600 , -   , 590 , 10 ," 11,999 "," 12,003 ", 4 , 2.5 , -   , -   , -   , -   
21,Illovo,TN46006,Blantyre,Chikwawa,Grid,Prepaid," 1,000 ", 900 , -   , 880 , 20 , 414 , 420 , 6 , 3.3 , -   , -   , -   , -   
22,Nchalo Shop,TNMShop,Blantyre,Chikwawa,Grid,Prepaid, 100 , 100 , -   , 100 , -   ," 13,880 "," 13,880 ", -   ,#DIV/0!, -   , -   , -   , -   
23,Kadzimete  ,TN48006,Blantyre,Chikwawa,Grid,Prepaid," 1,000 ", 350 , 780 , 770 , 360 ," 3,452 "," 3,514 ", 62 , 5.8 , -   , -   , -   , -   
24,Kanjedza,TN40047,Blantyre,Blantyre,Grid,Prepaid, 500 , 260 , -   , 250 , 10 ," 17,816 "," 17,826 ", 10 , 1.0 , -   , -   , -   , -   
25,Khama,TN40149,Blantyre,Blantyre,Off Grid,Prepaid," 1,000 ", 440 , 782 , 650 , 572 ," 5,602 "," 5,850 ", 248 , 2.3 , -   , -   , -   , -   
26,Limbe TNM Shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid, 150 , 25 , -   , 13 , 12 ," 2,685 "," 2,685 ", -   ,#DIV/0!, -   , -   , -   , -   
27,Limbe Town,TN40055,Blantyre,Blantyre,Grid,Prepaid, 100 , 50 , -   , 10 , 40 ," 12,486 "," 12,521 ", 35 , 1.1 , -   , -   , -   , -   
28,Lirangwe,TN41056,Blantyre,Blantyre,Grid,Prepaid, 600 , 380 , -   , 380 , -   ," 13,759 "," 13,759 ", -   ,#DIV/0!, -   , -   , -   , -   
29,Lunzu,TN40059,Blantyre,Blantyre,Grid,Prepaid, 600 , 600 , -   , 380 , 220 ," 18,790 "," 18,861 ", 71 , 3.1 , -   , -   , -   , -   
30,Machinjiri Hill,TN40060,Blantyre,Blantyre,Grid,Prepaid, 600 , 354 , -   , 348 , 6 ," 15,943 "," 15,945 ", 2 , 3.0 , -   , -   , -   , -   
31,Manja,TN40069,Blantyre,Blantyre,Grid,Prepaid," 1,000 ", 400 , 876 ," 1,000 ", 276 ," 10,624 "," 10,874 ", 250 , 1.1 , -   , -   , -   , -   
32,Matindi,TN41073,Blantyre,Blantyre,Grid,Prepaid, 600 , 450 , -   , 390 , 60 ," 16,649 "," 16,668 ", 19 , 3.2 , -   , -   , -   , -   
33,Mbame,TN41074,Blantyre,Blantyre,Grid,Prepaid, 600 , 565 , -   , 450 , 115 ," 19,790 "," 19,841 ", 51 , 2.3 , -   , -   , -   , -   
34,Mbayani,TN40075,Blantyre,Blantyre,Grid,Prepaid," 1,000 ", 400 , -   , 396 , 4 ," 16,698 "," 16,700 ", 2 , 2.0 , -   , -   , -   , -   
35,CEO residence,tnmres,Blantyre,Blantyre,Grid,Prepaid, 600 , 600 , -   , 600 , -   ," 14,808 "," 14,808 ", -   ,#DIV/0!, -   , -   , -   , -   
36,QECH,TN40151,Blantyre,Blantyre,Grid,Prepaid, 600 , 190 , -   , 260 ,-70 ," 15,502 "," 15,502 ", -   ,#DIV/0!, -   , -   , -   , -   
37,Milepa,TN42005,Blantyre,Chiradzulo,Grid,Prepaid," 1,000 ", 250 , 750 , 950 , 50 ," 4,874 "," 4,887 ", 13 , 3.8 , -   , -   , -   , -   
38,Mimosa,TN44008,Blantyre,Mulanje,Grid,Prepaid, 500 , 700 , -   , 620 , 80 ," 13,831 "," 13,869 ", 38 , 2.1 , -   , -   , -   , -   
39,Misesa,TN40078,Blantyre,Blantyre,Grid,Prepaid," 1,000 "," 1,000 ", -   , 600 , 400 ," 6,245 "," 6,433 ", 188 , 2.1 , -   , -   , -   , -   
40,Mpemba Hill,TN41149,Blantyre,Blantyre,Off Grid,Prepaid," 1,000 ", 517 ," 1,031 ", 690 , 858 ," 3,289 "," 3,560 ", 271 , 3.2 , -   , -   , -   , -   
41,Manja Ext,TN40152,Blantyre,Blantyre,Off Grid,Prepaid," 1,000 ", 680 , -   , 585 , 95 ," 4,048 "," 4,081 ", 33 , 2.9 , -   , -   , -   , -   
