Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage,,
Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid,500,180,230,450,-40,21841,21932,91,-0.4,,540,5662,,,Bangwe Clinic 
Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid,1000,412,0,700,-288,16532,16659,127,-2.3,,0,4917,,,Bangwe Police
BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid,500,396,504,504,396,717,873,156,2.5,,8361,7261,,,BCA Hill
Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid,600,189,263,260,192,2409,2551,142,1.4,,0,0,,,Bvumbwe
Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid,1000,690,281,930,41,4960,5005,45,0.9,,0,0,,,Chilomoni Hema
Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid,500,320,284,500,104,20689,20722,33,3.2,,0,5122,,,Chemusa
Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid,600,160,1096,160,1096,1037,1396,359,3.1,,3618,7277,,,Chichiri school
Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,500,500,0,500,0,11013,11013,0,#DIV/0!,,0,0,,,Chichiri shop
Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid,600,440,0,420,20,9759,9774,15,1.3,,191,5313,,,Chikuli
Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid,600,600,1171,595,1176,11986,12366,380,3.1,,0,0,,,Chilobwe
Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid,1000,950,161,950,161,8776,8834,58,2.8,,481,7099,,,Chilomoni Police
Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid,1000,915,0,860,55,8831,8858,27,2.0,,0,0,,,Chilomoni Fargo
CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid,500,200,0,450,-250,32505,32549,44,-5.7,,564,4954,,,CHIMALIRO
Chiradzulo Hosp,TN42003,Blantyre,Chiradzulo,Grid,Prepaid,600,420,194,600,14,17548,17586,38,0.4,,3919,4051,,,Chiradzulo Hosp
Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid,1000,700,0,450,250,3094,3176,82,3.0,,0,0,,,Chisitu
Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid,1000,990,845,870,965,5708,5984,276,3.5,,0,0,,,Chigumula extension
Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid,500,300,0,220,80,16211,16261,50,1.6,,0,0,,,Faiti
Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid,1000,150,1240,540,850,12963,11541,-1422,-0.6,,19122,19122,,,Fatima
Henred,TN40040,Blantyre,Blantyre,Grid,Prepaid,1000,680,0,680,0,3965,4053,88,0.0,,22,5317,,,Goliati
HHI,TN40041,Blantyre,Blantyre,Grid,Prepaid,600,500,0,400,100,12026,12077,51,2.0,,3497,5692,,,Henred
Illovo,TN46006,Blantyre,Chikwawa,Grid,Prepaid,1000,800,0,740,60,455,473,18,3.3,,0,0,,,HHI
Nchalo Shop,TNMShop,Blantyre,Chikwawa,Grid,Prepaid,100,100,60,100,60,13910,13880,-30,-2.0,,0,0,,,Illovo
Kadzimete  ,TN48006,Blantyre,Chikwawa,Grid,Prepaid,1000,620,867,940,547,3893,3996,103,5.3,,0,0,,,Nchalo Shop
