Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,
Area 21,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,600,508,300,380,428,252,257,5, 85.6 ,0,0,0,0,,Area 21
Area 23 ,TN20024 ,Lilongwe,Lilongwe,Grid,Postpaid,500,363,200,437,126,12634,12638,4, 31.5 ,0,0,0,0,,Area 23 
Area 23 Extension,TN20028 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,165,300,334,131,5332,5388,56, 2.3 ,0,0,0,0,,Area 23 Extension
Biwi Township,TN20084 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,480,646,230,896,2618,2886,268, 3.3 ,0,0,0,0,,Biwi Township
Mbwatalika,TN23089 ,Lilongwe,Lilongwe,Grid,Prepaid,600,279,300,300,279,18731,19044,313, 0.9 ,0,0,0,0,,Mbwatalika
Chinsapo T/C,TN20098 ,Lilongwe,Lilongwe,Grid,Prepaid,600,558,20,270,308,3450,3531,81, 3.8 ,0,0,0,0,,Chinsapo T/C
Chisoso,TN24021 ,Lilongwe,Lilongwe,Grid,Postpaid,1000,690,0,690,0,2747,2638,-109, -   ,0,0,0,0,,Chisoso
Chitipi,TN20102 ,Lilongwe,Lilongwe,Grid,Prepaid,600,490,1570,120,1940,14034,16065,2031, 1.0 ,0,0,0,0,,Chitipi
Gologota,TN20026 ,Lilongwe,Lilongwe,Grid,Prepaid,600,395,300,430,265,1533,1679,146, 1.8 ,0,0,0,0,,Gologota
Kabudula,TN20109 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,685,0,675,10,19904,19909,5, 2.0 ,0,0,0,0,,Kabudula
Kamuzu Barracks,TN20113 ,Lilongwe,Lilongwe,Grid,Prepaid,600,735,0,736,-1,2314,2314,0,#DIV/0!,0,0,0,0,,Kamuzu Barracks
Kawale,TN20123 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,350,150,3913,3916,3, 50.0 ,0,0,0,0,,Kawale
Likuni MTL,TN20128 ,Lilongwe,Lilongwe,Grid,Prepaid,100,150,166,300,16,29681,29582,-99,-0.2 ,0,0,0,0,,Likuni MTL
Chakhaza,TN24018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,950,350,680,620,3448,3738,290, 2.1 ,0,0,0,0,,Chakhaza
Area 23 Midlands,TN20029 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,412,188,22968,23025,57, 3.3 ,0,0,0,0,,Area 23 Midlands
Mphepo,TN25030 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,300,680,620,2428,2638,210, 3.0 ,0,0,0,0,,Mphepo
Njewa,TN20158 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,300,370,230,7415,4579,-2836,-0.1 ,0,0,0,0,,Njewa
NRC,TN20162 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,200,480,320,7437,7492,55, 5.8 ,0,0,0,0,,NRC
Nsalu,TN23164 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,555,0,620,-65,13705,13445,-260, 0.3 ,0,0,0,0,,Nsalu
Nsundwe,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,500,70,0,70,0,17813,17813,0,#DIV/0!,0,0,0,0,,Nsundwe
Sports Complex,TN20134 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,0,60,0,66,66,0,#DIV/0!,0,0,0,0,,Sports Complex
State Residences,TN20115 ,Lilongwe,Lilongwe,Grid,Prepaid,600,591,0,591,0,14470,14470,0,#DIV/0!,0,0,0,0,,State Residences
ARET,TN20082 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,50,100,50,30355,30370,15, 3.3 ,0,0,0,0,,ARET
AOG,TN20005 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,215,100,215,3603,3603,0,#DIV/0!,0,0,0,0,,AOG
LL Office,TN20132 ,Lilongwe,Lilongwe,Grid,Prepaid,200,200,362,200,362,5575,5685,110, 3.3 ,0,0,0,0,,LL Office
Technical centre 1,LLDC001,Lilongwe,Lilongwe,Grid,Prepaid,1000,720,0,720,0,663,663,0,#DIV/0!,0,0,0,0,,Technical centre 1
Technical centre 2 ,LLDC002,Lilongwe,Lilongwe,Grid,Prepaid,500,170,0,170,0,1944,1944,0,#DIV/0!,0,0,0,0,,Technical centre 2 
