Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
LIWALADZI,TN26007,North,NKHOTAKOTA,Grid,Prepaid,1000,151,894,1000,45,5613,5660,47, 1.0 ,0,0,0,0,LIWALADZI
KASASA,TN26005,North,NKHOTAKOTA,Grid,Prepaid,1000,780,0,740,40,1465,1490,25, 1.6 ,0,0,0,0,KASASA
DWANGWA FACTORY,TN26003,North,NKHOTAKOTA,Grid,Prepaid,1000,900,0,860,40,1137,1151,14, 2.9 ,0,0,0,0,DWANGWA FACTORY
DWANGWA TRADING,TN26004,North,NKHOTAKOTA,Grid,Prepaid,600,750,0,660,90,1985,2022,37, 2.4 ,350,3050,800,2600,DWANGWA TRADING
NGALA,TN10076,North,NKHOTAKOTA,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,TUKOMBO
TUKOMBO,TN13004,North,NKHATABAY,Grid,Postpaid,1000,500,0,445,55,2667,2689,22, 2.5 ,10065,0,8001,2064,KABUNDI
KABUNDI,TN15034,North,NKHATABAY,Grid,Prepaid,600,790,911,650,1051,12825,13085,260, 4.0 ,0,0,0,0,MZUZU BSC EXCHANGE
CHIKWINA,TN12002,North,NKHATABAY,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,MZUZU GESTETNER
MZUZU BSC EXCHANGE,TN13002,North,MZUZU,Grid,Prepaid,2000,1431,1314,2000,745,4152,4217,65, 11.5 ,2057,15700,910,16847,MZUZU OFFICE
MZUZU GESTETNER,TN11010,North,MZUZU,Grid,Prepaid,1000,544,760,860,444,3383,3539,156, 2.8 ,580,3050,1007,2623,MZUZU CHIMALIRO
MZUZU OFFICE,TN10062,North,MZUZU,Grid,Prepaid,210,100,0,100,0,5723,5723,0,#DIV/0!,998,3658,1430,3226,MZUZU FOREST
MZUZU CHIMALIRO,TN10069,North,MZUZU,Grid,Prepaid,1000,850,0,700,150,7443,7495,52, 2.9 ,540,6124,1120,5544,USISYA
MZUZU FOREST,TN10065,North,MZUZU,Grid,Prepaid,210,1000,60,825,235,13110,13200,90, 2.6 ,1510,3451,1331,3630,NKHORONGO
USISYA,TN10079,North,NKHATABAY,Grid,Prepaid,600,466,0,431,35,14738,14756,18, 1.9 ,1100,2561,1850,1811,MZUZU CHIBANJA
NKHORONGO,TN15008,North,MZUZU,Grid,Prepaid,600,438,547,600,385,7698,7797,99, 3.9 ,800,3050,870,2980,KATOTO
MZUZU CHIBANJA,TN13017,North,MZUZU,Grid,Prepaid,1000,720,0,648,72,7084,7114,30, 2.4 ,900,3050,550,3400,MCHENGAUTUBA
KATOTO,TN10052,North,MZUZU,Grid,Prepaid,60,495,0,468,27,7717,7732,15, 1.8 ,1021,3050,1441,2630,LUSANGAZI
MCHENGAUTUBA,TN13001,North,MZUZU,Grid,Prepaid,1000,745,301,767,279,3574,3638,64, 4.4 ,780,6124,758,6146,LUWAWA FOREST
LUSANGAZI,TN15004,North,MZUZU,Grid,Prepaid,600,314,443,600,157,1651,1668,17, 9.2 ,400,3050,1005,2445,LWANJATI
LUWAWA FOREST,TN12025,North,MZIMBA,OFFGRID,Prepaid,800,507,690,800,397,1575,1680,105, 3.8 ,0,0,0,0,JENDA
LWANJATI,TN10063,North,MZIMBA,OFFGRID,Prepaid,800,800,470,800,470,31127,31252,125, 3.8 ,0,0,0,0,EDINGENI
