Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
WALALA,TN42011,South,Zomba,GRID,PREPAID,1000,293,313,564,42,3073,3098,25, 2.20 ,494,,,,WALALA
NASAWA ,TN31023,South,Zomba,GRID,PREPAID,600,437,0,377,60,22913,22937,24, 1.47 ,520,,,,NASAWA 
DZAONE,TN31028,South,Zomba,GRID,PREPAID,600,1000,0,960,40,6744,6758,14, 2.43 ,812,,,,DZAONE
ZOMBA ESCOM,TN30031,South,Zomba,GRID,POSTPAID,600,582,0,582,0,11515,11515,0,#DIV/0!,582,,,,ZOMBA ESCOM
THONDWE,TN31027,South,Zomba,OFF GRID ,,600,948,0,352,596,13903,14095,192, 3.25 ,761,,,,THONDWE
ZOMBA WICO MOBILE,TN30035,South,Zomba,GRID,POSTPAID ACCESS,600,236,0,72,164,16154,16245,91, 1.72 ,570,,,,ZOMBA WICO MOBILE
CHICHIRI_SCHOOL,TN30030,South,Zomba,GRID ,PREPAID ,600,976,0,976,0,406,406,0, 2.38 ,1000,,,,CHICHIRI_SCHOOL
LIKUNGWATI,TN30009,South,Zomba,GRID,PREPAID,600,623,964,487,1100,3334,3613,279, 4.14 ,857,,,,LIKUNGWATI
KAMOTO,TN44004,South,Chiradzulo,OFF GRID ,OFF GRID,600,414,948,865,497,6872,7036,164, 2.45 ,248,,,,KAMOTO
NAISI ,TN30021,South,Zomba,GRID,PREPAID,600,948,0,800,148,8118,8162,44, 2.83 ,1030,,,,NAISI 
DOMASI,TN31004,South,Zomba,GRID,PREPAID,800,553,0,459,94,23360,23402,42, 1.56 ,600,,,,DOMASI
JALI,TN31005,South,Zomba,GRID,POSTPAID MTL,600,250,452,540,162,14605,14671,66, 2.31 ,444,,,,JALI
PHALOMBE,TN45012,South,Phalombe,GRID,POSTPAID,600,433,0,321,112,34287,34326,39, 2.42 ,600,,,,PHALOMBE
NOLO (NEW),TN45009,South,Phalombe,GRID,PREPAID,600,989,0,615,374,17086,17196,110, 2.90 ,850,,,,NOLO (NEW)
NJUMWA NEW,TN45007,South,Phalombe,GRID,PREPAID MTL,1000,734,956,947,743,9457,9494,37, 2.93 ,970,,,,NJUMWA NEW
OLD NAISI NEWLINES,TN30039,South,Zomba,OFF GRID,OFF GRID,600,380,303,600,83,20615,20675,60,#DIV/0!,444,,,,OLD NAISI NEWLINES
CHIRINGA,TN45001,South,Phalombe,OFF GRID ,,1000,268,1946,737,1477,4476,4984,508, 2.87 ,800,,,,CHIRINGA
ST MARYS,TN30034,South,Zomba,GRID,PREPAID,600,300,659,310,649,333,519,186,#DIV/0!,320,,,,ST MARYS
SADZI,TN30024,South,Zomba,GRID,PREPAID,600,437,588,600,425,12908,12913,5,#DIV/0!,457,,,,SADZI
CHANCO,TN30001,South,Zomba,GRID,PREPAID,600,810,0,712,98,3387,3429,42, 2.33 ,989,,,,CHANCO
KACHULU,TN31007,South,Zomba,GRID,PREPAID,600,550,0,550,0,22248,22248,0,#DIV/0!,550,,,,KACHULU
NANDOLO,TN30022,South,Zomba,GRID,PREPAID,1000,546,0,508,38,14308,14325,17, 2.07 ,584,,,,NANDOLO
MULUNGUZI,TN30020,South,Zomba,GRID,PREPAID,800,534,0,414,120,14154,14213,59, 2.15 ,600,,,,MULUNGUZI
COBBE,TN30043,South,Zomba,GRID,PREPAID,600,581,0,407,174,11801,11856,55, 2.15 ,472,,,,COBBE
MPITA TRADING,TN45005,South,Machinga,GRID,PREPAID,800,665,0,310,355,18458,18598,140, 2.08 ,266,,,,MPITA TRADING
CHISUGULU - HILL,TN45002,South,Phalombe,OFF GRID ,OFF GRID,600,75,0,20,55,6906,6921,15, 22.38 ,800,,,,CHISUGULU - HILL
MKAMWA,TN30018,South,Zomba,OFF GRID ,OFF GRID,600,192,571,382,381,19503,19605,102, 3.04 ,530,,,,MKAMWA
ZOMBA DAM,TN30040,South,Zomba,GRID,PREPAID,600,489,0,460,29,9412,9430,18, 1.93 ,600,,,,ZOMBA DAM
ZOMBA CENTRAL,TN30029,South,Zomba,GRID,PREPAID,600,710,726,500,936,3563,3759,196, 4.00 ,958,,,,ZOMBA CENTRAL
MCHEMA,TN42004,South,Zomba,OFF GRID ,OFF GRID,600,720,0,561,159,5173,5251,78, 2.60 ,450,,,,MCHEMA
AT Nasawa (Former JALI HILL),TN31023,South,Zomba,GRID,PREPAID,600,0,0,0,0,0,0,0,#DIV/0!,0,,,,AT Nasawa (Former JALI HILL)
CHISUGULU NEW DG,TN45002,South,Zomba,OFF GRID,,600,1000,0,577,423,6940,7028,88, 5.20 ,454,,,,CHISUGULU NEW DG
Mphyuphyu,TN31019,South,Zomba,OFF GRID ,,600,748,0,697,51,11383,11413,30, 2.30 ,1000,,,,Mphyuphyu
Mikongoni Hill,TN45004,South,Phalombe,OFF GRID,,600,732,773,975,530,5918,5972,54, 2.07 ,900,,,,Mikongoni Hill
Thom Allan,TN30041,South,Zomba,OFF GRID,,600,720,0,425,295,9139,9274,135, 2.89 ,946,,,,Thom Allan
ZA CENTRAL Ex Likungwati,TN30029,South,Zomba,GRID,PREPAID,600,514,0,514,0,9206,9206,0,#DIV/0!,600,,,,ZA CENTRAL Ex Likungwati
