Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage,,,
Bangwe Clinic ,TN40003,Blantyre,Blantyre,Grid,Prepaid,500,212,130,180,162,21816,21841,25,6.5,,540,5662,,,Bangwe Clinic ,180
Bangwe Police,TN40004,Blantyre,Blantyre,Grid,Prepaid,1000,590,821,412,999,16416,16532,116,8.6,,0,4917,,,Bangwe Police,412
BCA Hill,TN40006,Blantyre,Blantyre,Grid,Prepaid,500,420,363,396,387,623,717,94,4.1,,8361,7261,,,BCA Hill,396
Bvumbwe,TN43001,Blantyre,Thyolo,Grid,Prepaid,600,300,385,189,496,2307,2409,102,4.9,,0,0,,,Bvumbwe,189
Chilomoni Hema,TN40159,Blantyre,Blantyre,Off Grid,Prepaid,1000,450,510,690,270,4873,4960,87,3.1,,0,0,,,Chilomoni Hema,690
Chemusa,TN40013,Blantyre,Blantyre,Grid,Prepaid,500,440,0,320,120,20648,20689,41,2.9,,0,5122,,,Chemusa,320
Chichiri school,TN40015,Blantyre,Blantyre,Grid,Prepaid,600,500,0,160,340,997,1037,40,8.5,,3618,7277,,,Chichiri school,160
Chichiri shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,500,500,0,500,0,11013,11013,0,#DIV/0!,,0,0,,,Chichiri shop,500
Chikuli,TN41018,Blantyre,Blantyre,Grid,Prepaid,600,440,168,440,168,9759,9759,0,#DIV/0!,,191,5313,,,Chikuli,440
Chilobwe,TN40022,Blantyre,Blantyre,Grid,Prepaid,600,600,2263,600,2263,11251,11986,735,3.1,,0,0,,,Chilobwe,600
Chilomoni Police,TN40023,Blantyre,Blantyre,Grid,Prepaid,1000,990,276,950,316,8706,8776,70,4.5,,481,7099,,,Chilomoni Police,950
Chilomoni Fargo,TN40024,Blantyre,Blantyre,Off Grid,Prepaid,1000,920,0,915,5,8829,8831,2,2.5,,0,0,,,Chilomoni Fargo,915
CHIMALIRO,TN40026,Blantyre,Blantyre,Grid,Prepaid,500,215,136,200,151,32495,32505,10,15.1,,564,4954,,,CHIMALIRO,200
Chiradzulo Hosp,TN42003,Blantyre,Chiradzulo,Grid,Prepaid,600,580,0,420,160,17496,17548,52,3.1,,3919,4051,,,Chiradzulo Hosp,420
Chisitu,TN44003,Blantyre,Mulanje,Grid,Prepaid,1000,800,0,700,100,3056,3094,38,2.6,,0,0,,,Chisitu,700
Chigumula extension,TN40016,Blantyre,Blantyre,Off Grid,Prepaid,1000,400,933,990,343,5402,5708,306,1.1,,0,0,,,Chigumula extension,990
Faiti,TN47015,Blantyre,Mwanza,Prime,Prepaid,500,420,0,300,120,16145,16211,66,1.8,,0,0,,,Faiti,300
Fatima,TN47003,Blantyre,Nsanje,Grid,Prepaid,1000,980,982,150,1812,12399,12963,564,3.2,,19122,19122,,,Fatima,150
Henred,TN40040,Blantyre,Blantyre,Grid,Prepaid,1000,790,0,680,110,3932,3965,33,3.3,,22,5317,,,Goliati,
HHI,TN40041,Blantyre,Blantyre,Grid,Prepaid,600,520,0,500,20,12022,12026,4,5.0,,3497,5692,,,Henred,680
Illovo,TN46006,Blantyre,Chikwawa,Grid,Prepaid,1000,800,0,800,0,455,455,0,#DIV/0!,,0,0,,,HHI,500
Nchalo Shop,TNMShop,Blantyre,Chikwawa,Grid,Prepaid,100,100,0,100,0,13910,13910,0,#DIV/0!,,0,0,,,Illovo,800
Kadzimete  ,TN48006,Blantyre,Chikwawa,Grid,Prepaid,1000,980,0,620,360,3789,3893,104,3.5,,0,0,,,Nchalo Shop,100
Kanjedza,TN40047,Blantyre,Blantyre,Grid,Prepaid,500,600,0,440,160,17855,17941,86,1.9,,717,3644,,,Kadzimete  ,620
Khama,TN40149,Blantyre,Blantyre,Off Grid,Prepaid,1000,620,1062,951,731,6644,7147,503,1.5,,0,0,,,Kanjedza,440
Limbe TNM Shop,TNMShop,Blantyre,Blantyre,Grid,Prepaid,150,150,0,150,0,2689,2689,0,#DIV/0!,,0,0,,,Khama,951
Limbe Town,TN40055,Blantyre,Blantyre,Grid,Prepaid,100,40,77,40,77,12542,12594,52,1.5,,2692,5620,,,Limbe TNM Shop,150
Lirangwe,TN41056,Blantyre,Blantyre,Grid,Prepaid,600,380,0,376,4,13759,13761,2,2.0,,2626,5553,,,Limbe Town,40
Lunzu,TN40059,Blantyre,Blantyre,Grid,Prepaid,600,600,73,600,73,19001,19029,28,2.6,,463,6972,,,Lirangwe,376
