Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Area 21,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,600,508,0,508,0,252,252,0,#DIV/0!,0,0,0,0,,Area 21,,
Area 23 ,TN20024 ,Lilongwe,Lilongwe,Grid,Postpaid,500,364,0,363,1,12633,12634,1, 1.0 ,0,0,0,0,,Area 23 ,,
Area 23 Extension,TN20028 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,641,400,165,876,5037,5332,295, 3.0 ,0,0,0,0,,Area 23 Extension,,
Biwi Township,TN20084 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,740,0,480,260,2524,2618,94, 2.8 ,0,0,0,0,,Biwi Township,,
Mbwatalika,TN23089 ,Lilongwe,Lilongwe,Grid,Prepaid,600,279,0,279,0,18731,18731,0,#DIV/0!,0,0,0,0,,Mbwatalika,,
Chinsapo T/C,TN20098 ,Lilongwe,Lilongwe,Grid,Prepaid,600,738,0,558,180,3379,3450,71, 2.5 ,0,0,0,0,,Chinsapo T/C,,
Chisoso,TN24021 ,Lilongwe,Lilongwe,Grid,Postpaid,1000,690,300,690,300,2638,2747,109, 2.8 ,0,0,0,0,,Chisoso,,
Chitipi,TN20102 ,Lilongwe,Lilongwe,Grid,Prepaid,600,472,1213,490,1195,13437,14034,597, 2.0 ,0,0,0,0,,Chitipi,,
Gologota,TN20026 ,Lilongwe,Lilongwe,Grid,Prepaid,600,395,0,395,0,1476,1533,57, -   ,0,0,0,0,,Gologota,,
Kabudula,TN20109 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,685,65,19879,19904,25, 2.6 ,0,0,0,0,,Kabudula,,
Kamuzu Barracks,TN20113 ,Lilongwe,Lilongwe,Grid,Prepaid,600,736,0,735,1,2312,2314,2, 0.5 ,0,0,0,0,,Kamuzu Barracks,,
Kawale,TN20123 ,Lilongwe,Lilongwe,Grid,Prepaid,500,350,355,500,205,3761,3913,152, 1.3 ,0,0,0,0,,Kawale,,
Likuni MTL,TN20128 ,Lilongwe,Lilongwe,Grid,Prepaid,100,300,300,150,450,29582,29681,99, 4.5 ,0,0,0,0,,Likuni MTL,,
Chakhaza,TN24018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,536,950,276,3323,3448,125, 2.2 ,0,0,0,0,,Chakhaza,,
Area 23 Midlands,TN20029 ,Lilongwe,Lilongwe,Grid,Prepaid,600,412,900,600,712,22725,22968,243, 2.9 ,0,0,0,0,,Area 23 Midlands,,
Mphepo,TN25030 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,1000,0,2428,2428,0,#DIV/0!,0,0,0,0,,Mphepo,,
Njewa,TN20158 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,300,300,300,7415,7415,0,#DIV/0!,0,0,0,0,,Njewa,,
NRC,TN20162 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,800,0,600,200,7368,7437,69, 2.9 ,0,0,0,0,,NRC,,
Nsalu,TN23164 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,500,555,565,13445,13705,260, 2.2 ,0,0,0,0,,Nsalu,,
Nsundwe,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,500,420,50,70,400,17793,17813,20, 20.0 ,0,0,0,0,,Nsundwe,,
Sports Complex,TN20134 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,0,60,0,66,66,0,#DIV/0!,0,0,0,0,,Sports Complex,,
State Residences,TN20115 ,Lilongwe,Lilongwe,Grid,Prepaid,600,591,0,591,0,14470,14470,0,#DIV/0!,0,0,0,0,,State Residences,,
ARET,TN20082 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,54,100,54,30338,30355,17, 3.2 ,0,0,0,0,,ARET,,
AOG,TN20005 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,177,100,177,3536,3603,67, 2.6 ,0,0,0,0,,AOG,,
LL Office,TN20132 ,Lilongwe,Lilongwe,Grid,Prepaid,200,200,85,200,85,5548,5575,27, 3.1 ,0,0,0,0,,LL Office,,
Technical centre 1,LLDC001,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,720,280,656,663,7, 40.0 ,0,0,0,0,,Technical centre 1,,
Technical centre 2 ,LLDC002,Lilongwe,Lilongwe,Grid,Prepaid,500,340,0,170,170,1938,1944,6, 28.3 ,0,0,0,0,,Technical centre 2 ,,
Area 25 Nsungwi,TN20166 ,Lilongwe,Lilongwe,Grid,Prepaid,600,414,0,384,30,532,562,30, 1.0 ,0,0,0,0,,Area 25 Nsungwi,,
Mgona,TN20155 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,551,300,310,541,13006,13226,220, 2.5 ,0,0,0,0,,Mgona,,
Area 49 Dubai,TN20072 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,450,0,300,150,7883,7943,60, 2.5 ,0,0,0,0,,Area 49 Dubai,,
Dzenza,TN20105 ,Lilongwe,Lilongwe,Grid,Prepaid,500,422,0,350,72,14194,14224,30, 2.4 ,0,0,0,0,,Dzenza,,
Area 48,TN20069 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,0,300,100,16388,16440,52, 1.9 ,0,0,0,0,,Area 48,,
AREA 4,TN20059 ,Lilongwe,Lilongwe,Grid,Prepaid,600,730,0,400,330,2796,2927,131, 2.5 ,0,0,0,0,,AREA 4,,
Mtandile,TN20150 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,300,300,27139,27485,346, 0.9 ,0,0,0,0,,Mtandile,,
Area 43 Extension,TN20063 ,Lilongwe,Lilongwe,Grid,Prepaid,600,430,0,388,42,2803,2820,17, 2.5 ,0,0,0,0,,Area 43 Extension,,
Chiwamba,TN23103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,335,0,300,35,11058,11072,14, 2.5 ,0,0,0,0,,Chiwamba,,
Area 43 Africa House,TN20061 ,Lilongwe,Lilongwe,Grid,Prepaid,600,492,150,417,225,16007,16097,90, 2.5 ,0,0,0,0,,Area 43 Africa House,,
Lisandwa,TN25031 ,Lilongwe,Kasungu,Grid,Prepaid,1000,750,550,1000,300,1973,2075,102, 2.9 ,0,0,0,0,,Lisandwa,,
Area 30 Railways,TN20049 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,498,102,2532,2567,35, 2.9 ,0,0,0,0,,Area 30 Railways,,
Area 25 C,TN20041 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,450,200,350,300,16358,16481,123, 2.4 ,0,0,0,0,,Area 25 C,,
Kanengo Proper,TN20118 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,400,100,3825,3825,0,#DIV/0!,0,0,0,0,,Kanengo Proper,,
Silos,TN20169 ,Lilongwe,Lilongwe,Grid,Prepaid,60,30,35,60,5,932,937,5, 1.0 ,0,0,0,0,,Silos,,
KIA,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,208,700,500,408,8698,8934,236, 1.7 ,0,0,0,0,,KIA,,
Kanengo MBC,TN20119 ,Lilongwe,Lilongwe,Grid,Prepaid,500,288,0,276,12,3859,3871,12, 1.0 ,0,0,0,0,,Kanengo MBC,,
Nambuma,TN24016 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,970,0,965,5,22726,22738,12, 0.4 ,0,0,0,0,,Nambuma,,
Dangalilo,TN24002 ,Lilongwe,Dowa,Grid,Prepaid,600,560,0,530,30,18483,18500,17, 1.8 ,0,0,0,0,,Dangalilo,,
Lumbadzi,TN20138 ,Lilongwe,Lilongwe,Grid,Prepaid,500,390,400,430,360,1086,1266,180, 2.0 ,0,0,0,0,,Lumbadzi,,
Area 50,TN20080 ,Lilongwe,Lilongwe,Grid,Prepaid,600,578,0,393,185,4323,4384,61, 3.0 ,0,0,0,0,,Area 50,,
Kayembe,TN24007 ,Lilongwe,Dowa,Grid,Prepaid,600,480,0,465,15,16574,16581,7, 2.1 ,0,0,0,0,,Kayembe,,
Airport Road,TN20003 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,300,0,278,22,24027,24036,9, 2.4 ,0,0,0,0,,Airport Road,,
Area 49 Gulliver stadium,TN20073 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,0,500,120,4609,4645,36, 3.3 ,0,0,0,0,,Area 49 Gulliver stadium,,
Area 43 TBS,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,451,0,422,29,12304,12312,8, 3.6 ,0,0,0,0,,Area 43 TBS,,
Chiwuzira,TN20215 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,370,1000,620,750,2133,2429,296, 2.5 ,0,0,0,0,,Chiwuzira,,
Capital Hill,TN20090 ,Lilongwe,Lilongwe,Grid,Prepaid,600,429,0,424,5,1275,1276,1, 5.0 ,0,0,0,0,,Capital Hill,,
Area 11,TN20010 ,Lilongwe,Lilongwe,Grid,Prepaid,600,100,200,275,25,6696,6696,0,#DIV/0!,0,0,0,0,,Area 11,,
Area 12 Villa,TN20013 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,194,100,194,7631,7713,82, 2.4 ,0,0,0,0,,Area 12 Villa,,
Area 12 PTC,TN20008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,426,283,475,234,4122,4213,91, 2.6 ,0,0,0,0,,Area 12 PTC,,
Area 12 Zikomo,TN20014 ,Lilongwe,Lilongwe,Grid,Prepaid,600,360,0,325,35,13257,13280,23, 1.5 ,0,0,0,0,,Area 12 Zikomo,,
Area 18 B,TN20018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,300,450,6224,6425,201, 2.2 ,0,0,0,0,,Area 18 B,,
Area 18 Senti,TN20168 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,370,535,440,465,4724,4938,214, 2.2 ,0,0,0,0,,Area 18 Senti,,
