Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
LIWALADZI,TN26007,North,NKHOTAKOTA,Grid,Prepaid,1000,385,0,151,234,5522,5613,91, 2.6 ,0,0,0,0,LIWALADZI
KASASA,TN26005,North,NKHOTAKOTA,Grid,Prepaid,1000,824,0,780,44,1445,1465,20, 2.2 ,0,0,0,0,KASASA
DWANGWA FACTORY,TN26003,North,NKHOTAKOTA,Grid,Prepaid,1000,960,0,900,60,1112,1137,25, 2.4 ,0,0,0,0,DWANGWA FACTORY
DWANGWA TRADING,TN26004,North,NKHOTAKOTA,Grid,Prepaid,600,810,0,750,60,1956,1985,29, 2.1 ,800,2927,350,3377,DWANGWA TRADING
NGALA,TN10076,North,NKHOTAKOTA,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,TUKOMBO
TUKOMBO,TN13004,North,NKHATABAY,Grid,Postpaid,1000,550,0,500,50,2645,2667,22, 2.3 ,11875,0,10065,1810,KABUNDI
KABUNDI,TN15034,North,NKHATABAY,Grid,Prepaid,600,900,970,790,1080,12524,12825,301, 3.6 ,0,0,0,0,MZUZU BSC EXCHANGE
CHIKWINA,TN12002,North,NKHATABAY,Grid,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,MZUZU GESTETNER
MZUZU BSC EXCHANGE,TN13002,North,MZUZU,Grid,Prepaid,2000,1980,0,1431,549,4092,4152,60, 9.2 ,910,13666,2057,12519,MZUZU OFFICE
MZUZU GESTETNER,TN11010,North,MZUZU,Grid,Prepaid,1000,800,0,544,256,3255,3383,128, 2.0 ,1007,2927,580,3354,MZUZU CHIMALIRO
MZUZU OFFICE,TN10062,North,MZUZU,Grid,Prepaid,210,100,0,100,0,5723,5723,0,#DIV/0!,1560,3658,998,4220,MZUZU FOREST
MZUZU CHIMALIRO,TN10069,North,MZUZU,Grid,Prepaid,1000,860,260,850,270,7356,7443,87, 3.1 ,1120,3658,540,4238,USISYA
MZUZU FOREST,TN10065,North,MZUZU,Grid,Prepaid,210,300,1584,1000,884,12803,13110,307, 2.9 ,1650,2927,1510,3067,NKHORONGO
USISYA,TN10079,North,NKHATABAY,Grid,Prepaid,600,490,0,466,24,14725,14738,13, 1.8 ,1950,2561,1100,3411,MZUZU CHIBANJA
