Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
WALALA,TN42011,South,Zomba,GRID,PREPAID,1000,401,0,293,108,3022,3073,51, 2.20 ,494,,,,WALALA
NASAWA ,TN31023,South,Zomba,GRID,PREPAID,600,600,0,437,163,22848,22913,65, 1.47 ,520,,,,NASAWA 
DZAONE,TN31028,South,Zomba,GRID,PREPAID,600,1000,397,1000,397,6587,6744,157, 2.43 ,812,,,,DZAONE
ZOMBA ESCOM,TN30031,South,Zomba,GRID,POSTPAID,600,582,0,582,0,11515,11515,0,#DIV/0!,582,,,,ZOMBA ESCOM
THONDWE,TN31027,South,Zomba,OFF GRID ,,600,976,0,948,28,13894,13903,9, 3.25 ,761,,,,THONDWE
ZOMBA WICO MOBILE,TN30035,South,Zomba,GRID,POSTPAID ACCESS,600,411,0,236,175,16057,16154,97, 1.72 ,570,,,,ZOMBA WICO MOBILE
CHICHIRI_SCHOOL,TN30030,South,Zomba,GRID ,PREPAID ,600,990,0,976,14,406,406,0, 2.38 ,1000,,,,CHICHIRI_SCHOOL
LIKUNGWATI,TN30009,South,Zomba,GRID,PREPAID,600,714,0,623,91,3307,3334,27, 4.14 ,857,,,,LIKUNGWATI
KAMOTO,TN44004,South,Chiradzulo,OFF GRID ,OFF GRID,600,740,0,414,326,6739,6872,133, 2.45 ,248,,,,KAMOTO
NAISI ,TN30021,South,Zomba,GRID,PREPAID,600,988,0,948,40,8101,8118,17, 2.83 ,1030,,,,NAISI 
DOMASI,TN31004,South,Zomba,GRID,PREPAID,800,589,0,553,36,23344,23360,16, 1.56 ,600,,,,DOMASI
JALI,TN31005,South,Zomba,GRID,POSTPAID MTL,600,600,507,250,857,13903,14605,702, 2.31 ,444,,,,JALI
PHALOMBE,TN45012,South,Phalombe,GRID,POSTPAID,600,545,0,433,112,34248,34287,39, 2.42 ,600,,,,PHALOMBE
NOLO (NEW),TN45009,South,Phalombe,GRID,PREPAID,600,817,690,989,518,16978,17086,108, 2.90 ,850,,,,NOLO (NEW)
NJUMWA NEW,TN45007,South,Phalombe,GRID,PREPAID MTL,1000,896,0,734,162,9387,9457,70, 2.93 ,970,,,,NJUMWA NEW
OLD NAISI NEWLINES,TN30039,South,Zomba,OFF GRID,OFF GRID,600,411,0,380,31,20603,20615,12,#DIV/0!,444,,,,OLD NAISI NEWLINES
CHIRINGA,TN45001,South,Phalombe,OFF GRID ,,1000,1000,756,268,1488,3935,4476,541, 2.87 ,800,,,,CHIRINGA
ST MARYS,TN30034,South,Zomba,GRID,PREPAID,600,600,0,300,300,230,333,103,#DIV/0!,320,,,,ST MARYS
SADZI,TN30024,South,Zomba,GRID,PREPAID,600,457,0,437,20,12900,12908,8,#DIV/0!,457,,,,SADZI
CHANCO,TN30001,South,Zomba,GRID,PREPAID,600,910,0,810,100,3344,3387,43, 2.33 ,989,,,,CHANCO
KACHULU,TN31007,South,Zomba,GRID,PREPAID,600,550,0,550,0,22248,22248,0,#DIV/0!,550,,,,KACHULU
NANDOLO,TN30022,South,Zomba,GRID,PREPAID,1000,564,0,546,18,14300,14308,8, 2.07 ,584,,,,NANDOLO
MULUNGUZI,TN30020,South,Zomba,GRID,PREPAID,800,565,0,534,31,14139,14154,15, 2.15 ,600,,,,MULUNGUZI
COBBE,TN30043,South,Zomba,GRID,PREPAID,600,600,0,581,19,11795,11801,6, 2.15 ,472,,,,COBBE
MPITA TRADING,TN45005,South,Machinga,GRID,PREPAID,800,252,690,665,277,18344,18458,114, 2.08 ,266,,,,MPITA TRADING
CHISUGULU - HILL,TN45002,South,Phalombe,OFF GRID ,OFF GRID,600,776,122,75,823,6892,6906,14, 22.38 ,800,,,,CHISUGULU - HILL
MKAMWA,TN30018,South,Zomba,OFF GRID ,OFF GRID,600,566,0,192,374,19389,19503,114, 3.04 ,530,,,,MKAMWA
ZOMBA DAM,TN30040,South,Zomba,GRID,PREPAID,600,558,0,489,69,9369,9412,43, 1.93 ,600,,,,ZOMBA DAM
ZOMBA CENTRAL,TN30029,South,Zomba,GRID,PREPAID,600,1000,0,710,290,3504,3563,59, 4.00 ,958,,,,ZOMBA CENTRAL
MCHEMA,TN42004,South,Zomba,OFF GRID ,OFF GRID,600,920,0,720,200,5095,5173,78, 2.60 ,450,,,,MCHEMA
AT Nasawa (Former JALI HILL),TN31023,South,Zomba,GRID,PREPAID,600,0,0,0,0,0,0,0,#DIV/0!,0,,,,AT Nasawa (Former JALI HILL)
CHISUGULU NEW DG,TN45002,South,Zomba,OFF GRID,,600,1000,0,1000,0,6940,6940,0, 5.20 ,454,,,,CHISUGULU NEW DG
Mphyuphyu,TN31019,South,Zomba,OFF GRID ,,600,750,0,748,2,11382,11383,1, 2.30 ,1000,,,,Mphyuphyu
Mikongoni Hill,TN45004,South,Phalombe,OFF GRID,,600,850,0,732,118,5859,5918,59, 2.07 ,900,,,,Mikongoni Hill
Thom Allan,TN30041,South,Zomba,OFF GRID,,600,1000,0,720,280,9008,9139,131, 2.89 ,946,,,,Thom Allan
ZA CENTRAL Ex Likungwati,TN30029,South,Zomba,GRID,PREPAID,600,514,0,514,0,9206,9206,0,#DIV/0!,600,,,,ZA CENTRAL Ex Likungwati
Mposa,TN33017,South,Machinga,OFF GRID,,1000,480,0,420,60,9750,9778,28, 2.00 ,620,,,,Mposa
Nayuchi,TN33009,South,Machinga,GRID,PREPAID,1000,400,0,380,20,29075,29085,10, 1.76 ,470,,,,Nayuchi
Nselema,TN33012,South,Machinga,GRID,PREPAID,800,243,0,40,203,12171,12285,114, 1.93 ,390,,,,Nselema
Chikweo,TN33001,South,Machinga,GRID,PREPAID,600,370,0,310,60,3273,3302,29, 2.31 ,432,,,,Chikweo
Mwima,TN32010,South,Machinga,GRID,postpaid,800,525,0,500,25,20754,20744,-10, 2.57 ,600,,,,Mwima
Ulongwe,TN32018,South,Machinga,GRID,postpaid,800,300,0,280,20,15856,15865,9, 2.26 ,450,,,,Ulongwe
Ntaja,TN33013,South,Machinga,GRID,postpaid,1000,350,0,248,102,16774,16818,44, 2.57 ,475,,,,Ntaja
Nsanama,TN33011,South,Machinga,GRID,PREPAID,600,600,1012,490,1122,13291,13710,419, 3.24 ,150,,,,Nsanama
Mvuu camp,TN33006,South,Machinga,OFF GRID ,,600,192,1590,1390,392,3671,3809,138, 2.74 ,500,,,,Mvuu camp
Namanja,TN33007,South,Machinga,GRID,PREPAID,600,680,0,667,13,25095,25100,5, 2.89 ,320,,,,Namanja
Liwonde Road Block,TN32020,South,Machinga,GRID,PREPAID,600,550,0,490,60,3704,3724,20, 3.33 ,740,,,,Liwonde Road Block
Liwonde Residential,TN33003,South,Machinga,GRID,PREPAID,1000,221,520,570,171,11848,11903,55,#DIV/0!,320,,,,Liwonde Residential
Liwonde MTL,TN33002,South,Machinga,GRID,postpaid,800,235,456,400,291,3127,3233,106, 2.24 ,500,,,,Liwonde MTL
Namanolo,TN32012,South,Machinga,GRID,PREPAID,600,350,479,325,504,7718,7729,11, 6.00 ,540,,,,Namanolo
Ulongwe DG 2,TN32018,South,Machinga,GRID,POSTPAID ,600,472,0,372,100,8102,8150,48, 1.94 ,540,,,,Ulongwe DG 2
Mkwepere,TN33014,South,Machinga,OFF GRID,,1000,622,0,140,482,7133,7383,250, 2.19 ,790,,,,Mkwepere
MOBILE DG ZOMBA,TNMSRMOB01,South,Zomba,OFF GRID,AT CHAPOLA,1000,265,0,265,0,805,805,0,#DIV/0!,265,,,,MOBILE DG ZOMBA
Lizulu,TN21005,South,Ntcheu,OFF GRID,OFF GRID,600,445,0,217,228,29737,29813,76, 2.89 ,360,,,,Lizulu
Phombeya Fiber Repeater,TN32015,South,Balaka,GRID,OFF GRID,1000,548,0,471,77,3913,3948,35, 2.19 ,627,,,,Phombeya Fiber Repeater
Mota 3.2,TN49003,South,Balaka,OFF GRID,OFF GRID,600,780,0,497,283,1299,1362,63, 4.49 ,452,,,,Mota 3.2
Kandeu,TN21004,South,Balaka,GRID,PREPAID,600,557.8,0,541,16.8,25216,25222,6, 2.81 ,583,,,,Kandeu
Balaka  BSC,TN32002,South,Balaka,GRID,PREPAID,1000,596,0,589,7,1484,1485,1,#DIV/0!,596,,,,Balaka  BSC
Tsangano Proper,TN21016,South,Ntcheu,GRID,PREPAID,1000,614.2,0,100,514.2,2593,2794,201, 2.67 ,652,,,,Tsangano Proper
Neno,TN49005,South,neno,GRID,POSTPAID,500,785.8,0,755,30.8,2844,2856,12, 2.61 ,830,,,,Neno
Phalula,TN32014,South,Balaka,GRID,POSTPAID,1000,574.9,0,468,106.9,14035,14086,51, 2.10 ,619,,,,Phalula
Senzani,TN21014,South,Balaka,GRID,POSTPAID,1000,381.2,0,269,112.2,17204,17255,51, 2.19 ,390,,,,Senzani
Andiamo,TN32001,South,Balaka,GRID,PREPAID,1000,365,438,791,12,17236,17241,5, 3.00 ,416,,,,Andiamo
Nachitheme,TN32011,South,Balaka,GRID,POSTPAID,1000,861.6,0,821,40.6,6760,6775,15, 2.67 ,894,,,,Nachitheme
Manjawira,TN32008,South,Balaka,GRID,PREPAID,600,520,0,434,86,13338,13374,36, 3.56 ,580,,,,Manjawira
Ntcheu Peak,TN21012,South,Ntcheu,GRID,POSTPAID,600,525.4,0,433,92.4,8095,8139,44, 1.34 ,580,,,,Ntcheu Peak
New Balaka BSC,TN32002,South,Balaka,GRID,BACK UP DG,600,680,0,600,80,3334,3346,12, 7.00 ,890,,,,New Balaka BSC
Chembera,TN32005,South,Balaka,GRID,POSTPAID,600,387.4,0,357,30.4,18724,18738,14, 2.20 ,438,,,,Chembera
Nkaya,TN32013,South,Balaka,OFF GRID ,,600,844,0,842,2,7806,7807,1, 2.00 ,844,,,,Nkaya
Balaka Macra,TN32003,South,Balaka,GRID,PREPAID,600,291.5,336,589,38.5,9635,9643,8, 1.88 ,434,,,,Balaka Macra
Balaka Majiga,TN32004,South,Balaka,GRID,PREPAID,600,413.5,0,324,89.5,13058,13089,31, 2.88 ,486,,,,Balaka Majiga
Khwisa,TN32007,South,Balaka,GRID,PREPAID,600,485.5,0,483,2.5,3703,3704,1, 2.47 ,538,,,,Khwisa
Mphombeya BTS,TN32015,South,Balaka,GRID ,PREPAID,600,358,0,288,70,5632,5667,35, 2.00 ,430,,,,Mphombeya BTS
Ntcheu MTL,TN21011,South,Ntcheu,GRID,PREPAID AIRTEL,600,741.2,0,732,9.20000000000005,2484,2489,5, 1.82 ,761,,,,Ntcheu MTL
UTALE,TN32019,South,Balaka,OFFGRID,OFFGRID,600,606,0,606,0,28728,28728,0,#DIV/0!,606,,,,UTALE
BLK Shop,TNMShop,South,Balaka,GRID,,600,600,0,600,0,0,0,0,#DIV/0!,600,,,,BLK Shop
 MAWIRA new DG,TN33016,South,Machinga,OFF GRID,,800,400,0,385,15,10667,10674,7, 2.50 ,460,,,, MAWIRA new DG
MANGOCHI ACL,TN34022,South,Mangochi,GRID,ACCESS,1000,600,1117,255,1462,4167,4820,653, 2.00 ,424,,,,
MANGOCHI NORTH,TN34025,South,mangochi,GRID,PREPAID,600,319,380,650,49,12933,12978,45, 2.63 ,522,,,,MANGOCHI ACL
MANGOCHI AIRPORT,TN34023,South,Mangochi,GRID,PREPAID,600,490,0,331,159,6069,6135,66, 5.24 ,600,,,,MANGOCHI NORTH
NANSENGA,TN34036,South,Mangochi,OFF GRID ,PREPAID,600,268,528,494,302,33214,33345,131, 2.31 ,455,,,,MANGOCHI AIRPORT
PALM BEACH,TN34040,South,Mangochi,GRID,PREPAID,600,540,0,436,104,27211,27251,40, 2.61 ,642,,,,NANSENGA
NAMIYASI,TN34032,South,Mangochi,GRID,PREPAID,600,384,0,316,68,9613,9653,40, 1.72 ,428,,,,PALM BEACH
SUN AND SAND,TN34042,South,Mangochi,GRID,PREPAID,600,519,0,439,80,7396,7428,32, 2.61 ,622,,,,NAMIYASI
CHIKOWA,TN34005,South,Mangochi,GRID,PREPAID,1000,285,0,240,45,7480,7506,26, 1.60 ,341,,,,SUN AND SAND
CHIKOKOBAY,TN34003,South,Mangochi,GRID,PREPAID,600,521,0,477,44,17059,17077,18, 2.40 ,593,,,,CHIKOWA
MANZINZIBAY,TN34027,South,Mangochi,GRID,PREPAID,1000,521,0,478,43,7221,7246,25, 1.70 ,589,,,,CHIKOKOBAY
CHIKOKO STATE,TN34004,South,Mangochi,GRID,PREPAID,300,271,0,182,89,9873,9910,37, 2.43 ,396,,,,MANZINZIBAY
MONKEY BAY,TN34028,South,Mangochi,GRID,POSTPAID,600,600,574,543,631,7975,8334,359, 1.94 ,425,,,,CHIKOKO STATE
NAMBANDE,TN34031,South,Mangochi,OFF GRID,POSTPAID,600,444,0,200,244,2984,3207,223, 3.00 ,680,,,,MONKEY BAY
NGAPANI from Mbaluku,TN34037,South,Mangochi,OFF GRID,POSTPAID,1000,957,0,530,427,3251,3352,101, 4.10 ,603,,,,NAMBANDE
NAMWERA,TN34033,South,Mangochi,GRID,PREPAID,600,342,378,600,120,17019,17070,51, 2.00 ,192,,,,NGAPANI from Mbaluku
CHIPHOLE,TN34008,South,Mangochi,OFF GRID ,OFFGRID,1000,524,594,908,210,7402,7472,70, 3.00 ,725,,,,NAMWERA
MALEKANO,TN34018,South,Mangochi,OFF GRID ,PREPAID,600,328,596,620,304,20170,20263,93, 2.04 ,388,,,,CHIPHOLE
KATULI,TN34012,South,Mangochi,GRID,PREPAID,600,380,420,600,200,10741,10818,77, 2.00 ,370,,,,MALEKANO
NANKHWALI,TN34034,South,Mangochi,OFF GRID,PREPAID,600,416,0,410,6,12621,12623,2, 3.00 ,449,,,,KATULI
NKHUZIBAY,TN34038,South,Mangochi,OFF GRID ,PREPAID,600,592,0,537,55,19368,19390,22, 2.50 ,710,,,,NANKHWALI
CHING'OMBE,TN34007,South,Mangochi,GRID,PREPAID,600,510,0,484,26,29071,29084,13, 2.00 ,556,,,,NKHUZIBAY
NKOPOLA,TN34039,South,Mangochi,GRID,PREPAID,600,600,0,508,92,8899,8916,17, 2.90 ,393,,,,CHING'OMBE
LULANGA,TN34015,South,Mangochi,OFF GRID ,OFFGRID,1000,228,831,771,288,14864,14936,72, 4.00 ,612,,,,NKOPOLA
Nambande Backup Dg,TN34031,South,Mangochi,OFF GRID ,OFFGRID,600,534,0,534,0,9380,9380,0,#DIV/0!,534,,,,LULANGA
Mulibwanji ,TN34029,South,Mangochi,OFF GRID ,OFFGRID,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,Nambande Backup Dg
MOBILE DG MH,TNMSRMOB02,South,Mangochi,,AT NKHUDZIBAY,600,300,0,300,0,15,15,0,#DIV/0!,300,,,,Mulibwanji 
MH MTL,TN34021,South,Mangochi,GRID ,PREPAID ,1000,431,972,923,480,9829,9966,137, 3.20 ,1087,,,,MOBILE DG MH
LUGOLA,TN34044,South,Mangochi,OFF GRID ,PREPAID ,1000,614,822,700,736,9517,9857,340, 2.74 ,818,,,,MH MTL
MH KARONGA,TN34052,South,Mangochi,OFF GRID ,PREPAID ,1000,879,0,839,40,16569,16587,18, 2.25 ,890,,,,LUGOLA
LUNGWENA ,TN34045,South,Mangochi,OFF GRID ,PREPAID ,600,973,568,600,941,7670,7920,250, 4.26 ,1031,,,,MH KARONGA
Mbaluku,TN34047,South,Mangochi,GRID,PREPAID ,600,44,115,20,139,881,924,43, 2.00 ,76,,,,LUNGWENA 
Makunganya,TN34046,South,Mangochi,OFF GRID ,PREPAID ,600,700,780,332,1148,10897,11377,480, 1.97 ,1000,,,,Mbaluku
Chembe ,TN34013,South,Mangochi,OFF GRID ,PREPAID ,600,362,0,248,114,27338,27395,57, 2.00 ,468,,,,Makunganya
Majiga 1,TN32021,South,Balaka,OFF GRID ,PREPAID ,600,606,680,706,580,3308,3505,197, 2.97 ,600,,,,Chembe 
Dziwe,TN32022,South,Balaka,OFF GRID ,PREPAID ,1000,910,531,900,541,2621,2731,110, 3.04 ,790,,,,
Chapola,TN31036,South,Balaka,OFF GRID,PREPAID ,600,790,0,370,420,2818,2997,179, 2.50 ,830,,,,Majiga 1
St Therese/Liwonde Hospital,TN33018,South,Machinga,OFF GRID ,PREPAID ,1000,575,0,499,76,3310,3336,26, 2.86 ,590,,,,Dziwe
Dzunje,TN21018,South,Zomba,OFF GRID ,PREPAID ,600,468.4,920,927,461.4,3355,3506,151, 2.97 ,895,,,,Chapola
MPOTOLA,TN31035,South,Machinga,OFF GRID ,PREPAID ,600,425,421,410,436,14958,15068,110, 2.31 ,600,,,,St Therese/Liwonde Hospital
Dzenje,TN45013,South,Zomba,OFF GRID ,PREPAID ,1000,642,0,500,142,1521,1587,66, 2.51 ,842,,,,Dzunje
chingondo,TN31010,South,Zomba,OFF GRID ,PREPAID ,600,486,0,486,0,19860,19860,0, 2.50 ,581,,,,MPOTOLA
Namasalima,TN31033,South,Zomba,OFF GRID ,PREPAID ,600,600,0,574,26,218,228,10,#DIV/0!,600,,,,
Ulumba,TN31034,South,Zomba,OFF GRID ,PREPAID ,600,986,0,724,262,661,758,97, 2.81 ,524,,,,Dzenje
Skinner(former Chanco),TN30028,South,Zomba,OFF GRID ,PREPAID ,600,595,0,595,0,13855,13855,0, 2.64 ,600,,,,chingondo
KOKOLO,TN45014,South,Zomba,OFF GRID ,PREPAID ,1000,890,0,310,580,3733,3913,180, 3.28 ,700,,,,Namasalima
MBANIRA,TN33021,South,Machinga,OFF GRID ,PREPAID ,600,612,0,500,112,6326,6376,50, 2.18 ,730,,,,Ulumba
NANYUMBU,#N/A,South,Machinga,OFF GRID,PREPAID ,,0,0,0,0,0,0,0,#DIV/0!,0,,,,Skinner(former Chanco)
KAWINGA,TN33020,South,Machinga,OFF GRID ,PREPAID ,1000,444,841,500,785,6354,6717,363, 2.11 ,520,,,,KOKOLO
GOSHEN CITY,TN34055,South,Mangochi,OFF GRID ,PREPAID ,1000,754,0,748,6,4040,4043,3, 2.57 ,1000,,,,MBANIRA
NTCHEU SHOP,TNMShop,South,Ntcheu,GRID,PREPAID ,1000,0,100,100,0,0,0,0,#DIV/0!,0,,,,NANYUMBU
MANGOCHI SHOP,TNMShop,South,Mangochi,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,KAWINGA
LIKUNGWATI OLD DG,TN30009,South,Zomba,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,GOSHEN CITY
KATEMA,TN34014 ,South,Mangochi,GRID,PREPAID ,1000,514,0,514,0,19869,19869,0,#DIV/0!,514,,,,NTCHEU SHOP
NKOPOLA BACKUP DG,TN34039,South,Mangochi,GRID,PREPAID ,1000,520,0,520,0,28622,28622,0,#DIV/0!,520,,,,MANGOCHI SHOP
,,,,,,,,,,,,,,,,,,,LIKUNGWATI OLD DG
,,,,,,,,,,,,,,,,,,,KATEMA
,,,,,,,,,,,,,,,,,,,NKOPOLA BACKUP DG
